gene	transcript	chromosome	strand	TSS source	primary TSS	secondary TSS
1600015I10Rik	P1P2	chr6	+	CAGE, matched peaks	(48929891, 48929897)	(48929891, 48929897)
1600016N20Rik	P1P2	chr7	-	CAGE, matched peaks	(141214455, 141214476)	(141214455, 141214476)
1600029D21Rik	P1P2	chr9	+	CAGE, matched peaks	(50494516, 50494533)	(50494516, 50494533)
1600029I14Rik	ENSMUST00000056103.4	chr9	+	Annotation	(99470439, 99470439)	(99470439, 99470439)
1700001C02Rik	P1P2	chr5	+	CAGE, matched peaks	(30466044, 30466092)	(30466099, 30466102)
1700001C19Rik	P1P2	chr17	-	CAGE, matched peaks	(47421873, 47421885)	(47421852, 47421864)
1700001F09Rik	ENSMUST00000178178.1	chr14	-	Annotation	(43347810, 43347810)	(43347810, 43347810)
1700001G17Rik	P1P2	chr1	+	CAGE, matched peaks	(33669816, 33669856)	(33669807, 33669809)
1700001J03Rik	P1P2	chr5	-	CAGE, matched peaks	(146185312, 146185320)	(146185312, 146185320)
1700001K19Rik	P1P2	chr12	-	CAGE, matched peaks	(110682606, 110682623)	(110682606, 110682623)
1700001L19Rik	P1P2	chr13	+	CAGE, matched peaks	(68597425, 68597473)	(68597409, 68597420)
1700001O22Rik	P1P2	chr2	-	CAGE, matched peaks	(30801698, 30801742)	(30801698, 30801742)
1700001P01Rik	P1P2	chr11	-	CAGE, matched peaks	(97775876, 97775899)	(97775876, 97775899)
1700003E16Rik	P1P2	chr6	+	CAGE, matched peaks	(83156459, 83156514)	(83156401, 83156451)
1700003E24Rik	ENSMUST00000088134.3	chrX	+	Annotation	(93156153, 93156153)	(93156153, 93156153)
1700003F12Rik	P1P2	chr2	+	CAGE, matched peaks	(154548889, 154548932)	(154548867, 154548884)
1700003H04Rik	P1P2	chr3	-	CAGE, matched peaks	(124581076, 124581097)	(124581076, 124581097)
1700003M02Rik	P1P2	chr4	-	CAGE, matched peaks	(34730157, 34730232)	(34730142, 34730153)
1700006A11Rik	P1P2	chr3	-	CAGE, matched peaks	(124425989, 124425996)	(124426003, 124426012)
1700006E09Rik	P1P2	chr11	+	CAGE, matched peaks	(101987072, 101987097)	(101987050, 101987069)
1700007B14Rik	P1P2	chr8	+	CAGE, matched peaks	(75448710, 75448739)	(75448751, 75448760)
1700007G11Rik	P1P2	chr5	+	CAGE, matched peaks	(98329298, 98329350)	(98329298, 98329350)
1700007K09Rik	P1P2	chr7	-	CAGE, matched peaks	(131329507, 131329522)	(131329493, 131329504)
1700007K13Rik	P1P2	chr2	-	CAGE, matched peaks	(28466266, 28466359)	(28466266, 28466359)
1700008A04Rik	P1P2	chr11	-	CAGE, matched peaks	(32824566, 32824586)	(32824548, 32824551)
1700008F21Rik	P1P2	chr8	+	CAGE, matched peaks	(129072593, 129072594)	(129072593, 129072594)
1700008I05Rik	P1P2	chrX	-	CAGE, matched peaks	(135693783, 135693795)	(135693783, 135693795)
1700008O03Rik	P1P2	chr7	-	CAGE, matched peaks	(44375006, 44375035)	(44374487, 44374518)
1700008P02Rik	P1P2	chr3	-	CAGE, matched peaks	(6620441, 6620444)	(6620441, 6620444)
1700009J07Rik	P1P2	chr10	+	CAGE, matched peaks	(77893413, 77893431)	(77893435, 77893442)
1700009N14Rik	P1P2	chr4	+	CAGE, matched peaks	(39450268, 39450314)	(39450316, 39450331)
1700009P17Rik	P1P2	chr1	+	CAGE, matched peaks	(171123126, 171123168)	(171123126, 171123168)
1700010B08Rik	P1P2	chr2	+	CAGE, matched peaks	(173719467, 173719502)	(173719426, 173719437)
1700010D01Rik	P1P2	chrX	-	CAGE, matched peaks	(95733285, 95733308)	(95733285, 95733308)
1700010H22Rik	P1P2	chr5	-	CAGE, primary peaks	(98566854, 98566864)	(98566962, 98566969)
1700010I14Rik	P1P2	chr17	+	CAGE, matched peaks	(8988348, 8988395)	(8988340, 8988347)
1700010L04Rik	P1P2	chr7	+	CAGE, primary peaks	(82856243, 82856269)	(82856243, 82856269)
1700011A15Rik	P1P2	chr15	+	CAGE, matched peaks	(101447762, 101447804)	(101447805, 101447814)
1700011E24Rik	P1P2	chr17	-	CAGE, matched peaks	(87427690, 87427707)	(87427732, 87427741)
1700011H14Rik	P1P2	chr14	-	CAGE, matched peaks	(49245389, 49245441)	(49245389, 49245441)
1700011I03Rik	P1P2	chr18	+	CAGE, matched peaks	(57533842, 57533866)	(57533842, 57533866)
1700011L22Rik	P1P2	chr8	-	CAGE, matched peaks	(79248537, 79248565)	(79248537, 79248565)
1700011M02Rik	ENSMUST00000113602.1	chrX	+	Annotation	(102908904, 102908904)	(102908904, 102908904)
1700012A03Rik	P1P2	chr6	+	CAGE, matched peaks	(32050281, 32050307)	(32050266, 32050278)
1700012B07Rik	P1P2	chr11	-	CAGE, matched peaks	(109828036, 109828065)	(109828021, 109828028)
1700012B09Rik	P1P2	chr9	-	CAGE, matched peaks	(14771004, 14771044)	(14770979, 14771000)
1700012L04Rik	ENSMUST00000177926.1	chrX	+	Annotation	(9283763, 9283763)	(9283763, 9283763)
1700012P22Rik	P1P2	chr4	-	CAGE, matched peaks	(144438766, 144438807)	(144438714, 144438717)
1700013D24Rik	P1P2	chr6	-	CAGE, matched peaks	(124357032, 124357054)	(124357067, 124357078)
1700013F07Rik	P1P2	chr3	+	CAGE, matched peaks	(108537523, 108537583)	(108537586, 108537592)
1700013G24Rik	P1P2	chr4	+	CAGE, matched peaks	(137453253, 137453316)	(137453320, 137453335)
1700013H16Rik	P1P2	chrX	-	CAGE, matched peaks	(53757836, 53757849)	(53757798, 53757815)
1700014D04Rik	ENSMUST00000055343.2	chr13	-	Annotation	(59742749, 59742749)	(59742749, 59742749)
1700015E13Rik	P1P2	chr1	+	CAGE, matched peaks	(170308836, 170308884)	(170308836, 170308884)
1700015F17Rik	P1P2	chr5	-	CAGE, matched peaks	(5479077, 5479107)	(5479040, 5479060)
1700015G11Rik	P1P2	chr7	-	CAGE, matched peaks	(52015710, 52015723)	(52015710, 52015723)
1700016C15Rik	P1P2	chr1	+	CAGE, matched peaks	(177729843, 177729869)	(177729843, 177729869)
1700016D06Rik	P1P2	chr8	-	CAGE, matched peaks	(11678728, 11678754)	(11678710, 11678726)
1700016D08Rik	ENSMUST00000181699.1	chr16	-	Annotation	(3909191, 3909191)	(3909191, 3909191)
1700016H13Rik	P1P2	chr5	-	CAGE, matched peaks	(103655709, 103655743)	(103655744, 103655751)
1700016K19Rik	P1P2	chr11	+	CAGE, matched peaks	(75999980, 75999994)	(75999952, 75999977)
1700017B05Rik	P1P2	chr9	-	CAGE, matched peaks	(57262591, 57262609)	(57262563, 57262580)
1700017D01Rik	P1P2	chr19	-	CAGE, matched peaks	(11130819, 11130859)	(11130805, 11130814)
1700017N19Rik	P1P2	chr10	+	CAGE, matched peaks	(100592365, 100592382)	(100592365, 100592382)
1700018A14Rik	P1P2	chr18	+	CAGE, matched peaks	(46198982, 46199016)	(46198901, 46198903)
1700018B08Rik	P1P2	chr8	-	CAGE, matched peaks	(121541962, 121541974)	(121541939, 121541946)
1700018B24Rik	P1P2	chr3	-	CAGE, matched peaks	(48609080, 48609111)	(48609063, 48609074)
1700018C11Rik	P1P2	chr4	-	CAGE, matched peaks	(63622421, 63622448)	(63622414, 63622417)
1700018F24Rik	ENSMUST00000031624.3	chr5	+	Annotation	(145042989, 145042989)	(145042989, 145042989)
1700019A02Rik	P1P2	chr1	-	CAGE, matched peaks	(53187596, 53187635)	(53187596, 53187635)
1700019B03Rik	P1P2	chr8	+	CAGE, matched peaks	(3470841, 3470858)	(3470841, 3470858)
1700019D03Rik	P1P2	chr1	-	CAGE, matched peaks	(52952804, 52952826)	(52952834, 52952854)
1700019G17Rik	P1P2	chr6	-	CAGE, matched peaks	(85902246, 85902276)	(85902246, 85902276)
1700019L03Rik	P1P2	chr2	-	CAGE, matched peaks	(32784424, 32784446)	(32784409, 32784417)
1700019M22Rik	P1P2	chr12	-	CAGE, matched peaks	(96047144, 96047161)	(96047144, 96047161)
1700019N19Rik	P1P2	chr19	-	CAGE, matched peaks	(58794400, 58794428)	(58794436, 58794455)
1700019O17Rik	P1P2	chr1	+	CAGE, matched peaks	(86426323, 86426349)	(86426323, 86426349)
1700020A23Rik	P1P2	chr2	+	CAGE, matched peaks	(130405256, 130405296)	(130405256, 130405296)
1700020L24Rik	P1P2	chr11	+	CAGE, matched peaks	(83437678, 83437708)	(83437655, 83437671)
1700020N01Rik	P1P2	chr10	+	CAGE, matched peaks	(21593126, 21593137)	(21593112, 21593122)
1700020N15Rik	ENSMUST00000075654.1	chrX	+	Annotation	(69945299, 69945299)	(69945299, 69945299)
1700021A07Rik	ENSMUST00000042671.4	chr10	+	Annotation	(21425341, 21425341)	(21425341, 21425341)
1700021F05Rik	P1P2	chr10	-	CAGE, matched peaks	(43540945, 43541024)	(43540945, 43541024)
1700021F07Rik	P1P2	chr2	+	CAGE, matched peaks	(173522588, 173522618)	(173522622, 173522635)
1700021K19Rik	P1P2	chr16	-	CAGE, matched peaks	(32868286, 32868318)	(32868325, 32868368)
1700021P04Rik	ENSMUST00000178667.1	chr19	+	Annotation	(24064792, 24064792)	(24064792, 24064792)
1700022I11Rik	P1P2	chr4	+	CAGE, matched peaks	(42969953, 42969965)	(42969945, 42969951)
1700022P22Rik	P1P2	chr1	+	CAGE, matched peaks	(191036812, 191036825)	(191036829, 191036838)
1700023E05Rik	P1	chr5	+	CAGE, matched peaks	(77016023, 77016054)	(77016023, 77016054)
1700023E05Rik	P2	chr5	+	CAGE, matched peaks	(77037010, 77037043)	(77037010, 77037043)
1700023F06Rik	P1P2	chr11	-	CAGE, matched peaks	(103208542, 103208555)	(103208531, 103208534)
1700024B05Rik	P1P2	chr14	+	CAGE, matched peaks	(41943973, 41943997)	(41943973, 41943997)
1700024G13Rik	P1P2	chr14	-	CAGE, matched peaks	(32388355, 32388396)	(32388355, 32388396)
1700024P04Rik	P1P2	chr13	-	CAGE, matched peaks	(98984558, 98984571)	(98984601, 98984605)
1700024P16Rik	P1P2	chr4	+	CAGE, matched peaks	(104913554, 104913579)	(104913513, 104913524)
1700025C18Rik	P1P2	chr2	-	CAGE, matched peaks	(165090739, 165090752)	(165090756, 165090761)
1700025F22Rik	P1P2	chr19	-	CAGE, matched peaks	(11165298, 11165336)	(11165341, 11165350)
1700025G04Rik	P1P2	chr1	-	CAGE, matched peaks	(152090259, 152090307)	(152090181, 152090209)
1700026D08Rik	P1P2	chr7	-	CAGE, matched peaks	(83794842, 83794887)	(83794820, 83794841)
1700026L06Rik	P1P2	chr2	-	CAGE, matched peaks	(28699636, 28699659)	(28699661, 28699688)
1700028J19Rik	P1P2	chr7	-	CAGE, matched peaks	(44236098, 44236124)	(44236086, 44236093)
1700028K03Rik	P1P2	chr5	+	CAGE, matched peaks	(107534738, 107534761)	(107534715, 107534732)
1700028P14Rik	P1P2	chr19	-	CAGE, matched peaks	(23652780, 23652820)	(23652780, 23652820)
1700029F12Rik	P1P2	chr13	-	CAGE, matched peaks	(97034341, 97034365)	(97034367, 97034382)
1700029H14Rik	P1P2	chr8	-	CAGE, matched peaks	(13562397, 13562410)	(13562397, 13562410)
1700029I15Rik	P1P2	chr2	+	CAGE, matched peaks	(92382911, 92382924)	(92382932, 92382941)
1700029J07Rik	P1P2	chr8	-	CAGE, matched peaks	(45975224, 45975281)	(45975311, 45975371)
1700029P11Rik	P1P2	chr15	+	CAGE, matched peaks	(81980509, 81980546)	(81980509, 81980546)
1700030C10Rik	P1P2	chr12	-	CAGE, matched peaks	(20815756, 20815772)	(20815756, 20815772)
1700030J22Rik	P1P2	chr8	-	CAGE, matched peaks	(116978908, 116978997)	(116978882, 116978906)
1700030K09Rik	P1P2	chr8	+	CAGE, matched peaks	(72443874, 72443953)	(72443874, 72443953)
1700031F05Rik	ENSMUST00000048061.6	chrX	-	Annotation	(102866352, 102866352)	(102866352, 102866352)
1700034E13Rik	P1P2	chr18	+	CAGE, matched peaks	(52646206, 52646225)	(52646181, 52646185)
1700034H15Rik	P1P2	chr1	-	CAGE, matched peaks	(191907582, 191907606)	(191907582, 191907606)
1700034J04Rik	ENSMUST00000055358.2	chr12	-	Annotation	(11222209, 11222209)	(11222209, 11222209)
1700034J05Rik	P1P2	chr6	-	CAGE, matched peaks	(146954399, 146954431)	(146954383, 146954396)
1700034O15Rik	P1P2	chr6	+	CAGE, matched peaks	(41684378, 41684402)	(41684414, 41684441)
1700036A12Rik	ENSMUST00000178191.1	chr9	+	Annotation	(60769601, 60769601)	(60769601, 60769601)
1700037C18Rik	P1P2	chr16	-	CAGE, matched peaks	(3908639, 3908686)	(3907695, 3907707)
1700037H04Rik	P1P2	chr2	-	CAGE, matched peaks	(131160006, 131160051)	(131159982, 131160005)
1700039E15Rik	P1P2	chr7	+	CAGE, matched peaks	(45282769, 45282771)	(45282769, 45282771)
1700040F15Rik	ENSMUST00000178751.1	chrY	+	Annotation	(60242634, 60242634)	(60242634, 60242634)
1700040L02Rik	P1P2	chr10	-	CAGE, matched peaks	(68541842, 68541908)	(68541842, 68541908)
1700041G16Rik	P1P2	chr8	+	CAGE, primary peaks	(22808268, 22808275)	(22808300, 22808326)
1700042B14Rik	P1P2	chrX	-	CAGE, matched peaks	(155128409, 155128440)	(155128409, 155128440)
1700042G07Rik	P1P2	chr4	+	CAGE, matched peaks	(116173364, 116173380)	(116173389, 116173400)
1700045I11Rik	ENSMUST00000179965.1	chr4	+	Annotation	(42170844, 42170844)	(42170844, 42170844)
1700047I17Rik2	ENSMUST00000177978.1	chr12	+	Annotation	(55199532, 55199532)	(55199532, 55199532)
1700048O20Rik	P1P2	chr9	+	CAGE, matched peaks	(121937240, 121937264)	(121937285, 121937297)
1700049E17Rik1	ENSMUST00000164552.1	chr14	+	Annotation	(41924948, 41924948)	(41924948, 41924948)
1700049E17Rik2	ENSMUST00000111874.2	chr14	+	Annotation	(41573341, 41573341)	(41573341, 41573341)
1700049G17Rik	P1P2	chr7	-	CAGE, matched peaks	(27929443, 27929465)	(27929468, 27929487)
1700051O22Rik	ENSMUST00000180883.1	chr8	+	CAGE, robust peak	(85432584, 85432592)	(85432584, 85432592)
1700052N19Rik	P1P2	chr10	+	CAGE, matched peaks	(4432586, 4432661)	(4432455, 4432495)
1700054O13Rik	P1P2	chrX	+	CAGE, matched peaks	(9846945, 9846977)	(9846945, 9846977)
1700055D18Rik	P1P2	chr4	+	CAGE, primary peaks	(45012796, 45012843)	(45012846, 45012858)
1700055N04Rik	P1P2	chr19	+	CAGE, matched peaks	(3958803, 3958832)	(3958803, 3958832)
1700056E22Rik	P1P2	chr1	-	CAGE, matched peaks	(184034148, 184034186)	(184034125, 184034144)
1700057G04Rik	P1P2	chr9	+	CAGE, matched peaks	(92309362, 92309386)	(92309391, 92309401)
1700060C20Rik	ENSMUST00000109506.1	chr2	+	Annotation	(158192008, 158192008)	(158192008, 158192008)
1700061G19Rik	P1P2	chr17	+	CAGE, matched peaks	(56875471, 56875489)	(56875523, 56875535)
1700061I17Rik	P1P2	chr3	-	CAGE, matched peaks	(117077760, 117077769)	(117077717, 117077721)
1700063H04Rik	P1P2	chr6	+	CAGE, matched peaks	(122391351, 122391388)	(122391351, 122391388)
1700064H15Rik	P1P2	chr3	-	CAGE, primary peaks	(19628669, 19628685)	(19628643, 19628663)
1700065D16Rik	P1P2	chr9	-	CAGE, matched peaks	(95857559, 95857570)	(95858370, 95858383)
1700065I17Rik	P1P2	chr18	+	CAGE, matched peaks	(56588342, 56588359)	(56588342, 56588359)
1700066B19Rik	P1P2	chr18	+	CAGE, matched peaks	(35726975, 35726994)	(35726975, 35726994)
1700066M21Rik	P1P2	chr1	+	CAGE, matched peaks	(57377593, 57377689)	(57377593, 57377689)
1700067K01Rik	P1P2	chr8	+	CAGE, matched peaks	(84001455, 84001468)	(84001434, 84001441)
1700067P10Rik	P1P2	chr17	+	CAGE, matched peaks	(48089634, 48089659)	(48089660, 48089686)
1700069B07Rik	ENSMUST00000065310.2	chr7	+	Annotation	(121707188, 121707188)	(121707188, 121707188)
1700069L16Rik	P1P2	chr5	-	CAGE, matched peaks	(113724771, 113724788)	(113724789, 113724795)
1700074P13Rik	P1	chr6	-	CAGE, matched peaks	(40940527, 40940554)	(40940527, 40940554)
1700074P13Rik	P2	chr6	-	CAGE, matched peaks	(40929731, 40929745)	(40929731, 40929745)
1700080E11Rik	P1P2	chr9	-	CAGE, matched peaks	(105145072, 105145106)	(105145072, 105145106)
1700080O16Rik	P1P2	chrX	-	CAGE, matched peaks	(51972771, 51972798)	(51972771, 51972798)
1700084C01Rik	P1P2	chr1	+	CAGE, matched peaks	(169928956, 169928975)	(169928956, 169928975)
1700084J12Rik	P1P2	chr15	-	CAGE, primary peaks	(33405949, 33405976)	(33405949, 33405976)
1700084M14Rik	P1P2	chrX	-	CAGE, primary peaks	(91575892, 91575916)	(91575892, 91575916)
1700086D15Rik	ENSMUST00000108696.1,ENSMUST00000020855.3	chr11	-	Annotation	(65159889, 65159889)	(65159889, 65159889)
1700086L19Rik	P1P2	chr12	+	CAGE, matched peaks	(74284271, 74284310)	(74284318, 74284330)
1700088E04Rik	P1P2	chr15	-	CAGE, matched peaks	(79141197, 79141268)	(79141197, 79141268)
1700092M07Rik	P1P2	chr19	+	CAGE, matched peaks	(8740739, 8740767)	(8740712, 8740723)
1700093K21Rik	P1P2	chr11	-	CAGE, matched peaks	(23519181, 23519233)	(23519181, 23519233)
1700094D03Rik	P1P2	chr3	+	CAGE, matched peaks	(90062781, 90062836)	(90062781, 90062836)
1700101E01Rik	P1P2	chr2	-	CAGE, matched peaks	(29055051, 29055079)	(29055217, 29055258)
1700101G07Rik	ENSMUST00000077067.4	chr2	+	Annotation	(169582080, 169582080)	(169582080, 169582080)
1700101I19Rik	P1P2	chr1	-	CAGE, primary peaks	(34579619, 34579631)	(34579678, 34579680)
1700102P08Rik	P1P2	chr9	+	CAGE, matched peaks	(108392820, 108392843)	(108392820, 108392843)
1700104B16Rik	P1P2	chr8	-	CAGE, matched peaks	(33731793, 33731823)	(33731793, 33731823)
1700106J16Rik	P1P2	chr11	+	CAGE, matched peaks	(88294046, 88294073)	(88294030, 88294036)
1700109H08Rik	P1P2	chr5	+	CAGE, matched peaks	(3571676, 3571692)	(3571590, 3571610)
1700110I01Rik	ENSMUST00000179153.1	chr14	+	Annotation	(3270680, 3270680)	(3270680, 3270680)
1700110M21Rik	P1P2	chr14	-	CAGE, matched peaks	(101200349, 101200418)	(101200349, 101200418)
1700111E14Rik	ENSMUST00000031863.1	chr6	+	Annotation	(36937047, 36937047)	(36937047, 36937047)
1700112E06Rik	P1P2	chr14	+	CAGE, matched peaks	(22019833, 22019856)	(22019809, 22019832)
1700113H08Rik	ENSMUST00000169849.1	chr10	+	CAGE, robust peak	(87058043, 87058067)	(87058102, 87058104)
1700119I11Rik	P1P2	chr13	+	CAGE, primary peaks	(91861430, 91861443)	(91861464, 91861477)
1700120B22Rik	P1P2	chr10	-	CAGE, matched peaks	(63244135, 63244170)	(63244197, 63244198)
1700122O11Rik	P1P2	chr17	-	CAGE, matched peaks	(48038286, 48038306)	(48038286, 48038306)
1700123I01Rik	P1P2	chr19	+	CAGE, matched peaks	(6184363, 6184375)	(6184339, 6184352)
1700123K08Rik	P1P2	chr5	-	CAGE, matched peaks	(138564671, 138564707)	(138564671, 138564707)
1700123L14Rik	P1P2	chr6	-	CAGE, matched peaks	(96166211, 96166258)	(96166195, 96166208)
1700123O20Rik	P1P2	chr14	+	CAGE, matched peaks	(54686242, 54686261)	(54686201, 54686230)
1700125H20Rik	P1P2	chr11	+	CAGE, matched peaks	(85171074, 85171086)	(85171097, 85171104)
1700128F08Rik	P1P2	chr9	+	CAGE, matched peaks	(8221857, 8221871)	(8221890, 8221899)
1700129C05Rik	P1P2	chr14	-	CAGE, matched peaks	(59142886, 59142898)	(59142886, 59142898)
1810009A15Rik	P1P2	chr19	+	CAGE, matched peaks	(8888880, 8888925)	(8888860, 8888861)
1810009J06Rik	P1P2	chr6	+	CAGE, matched peaks	(40964760, 40964781)	(40964760, 40964781)
1810011H11Rik	P1P2	chr14	+	CAGE, matched peaks	(32786004, 32786023)	(32786004, 32786023)
1810011O10Rik	P1P2	chr8	-	CAGE, matched peaks	(24438937, 24438952)	(24438937, 24438952)
1810013L24Rik	P1P2	chr16	+	CAGE, matched peaks	(8830115, 8830142)	(8830093, 8830104)
1810019J16Rik	P1P2	chr4	+	CAGE, matched peaks	(133518981, 133519010)	(133519067, 133519088)
1810022K09Rik	P1P2	chr3	-	CAGE, matched peaks	(14611250, 14611275)	(14611250, 14611275)
