gene	transcripts	position	strand	chromosome	cage peak ranges
ACADSB	all	124768531.0	+	chr10	[(124768399, 124768400), (124768456, 124768465), (124768466, 124768477), (124768482, 124768542)]
ACADVL	all	7123124.0	+	chr17	[(7123176, 7123205), (7123207, 7123275), (7123287, 7123298)]
ACAN	ENST00000439576.2	89346673.0	+	chr15	[(89346657, 89346673), (89346682, 89346691), (89346699, 89346715), (89346739, 89346750)]
ACAN	ENST00000561243.1	89379437.0	+	chr15	[(89379456, 89379466), (89379473, 89379477)]
ACAP1	all	7239847.0	+	chr17	[(7239821, 7239902), (7239904, 7239915)]
ACAP2	all	195163806.0	-	chr3	[(195163669, 195163683), (195163684, 195163701), (195163706, 195163777), (195163803, 195163826), (195163834, 195163851), (195163852, 195163868), (195163904, 195163905)]
ACAP3	all	1243397.0	-	chr1	[(1243214, 1243229), (1243241, 1243246), (1243252, 1243318), (1243322, 1243332), (1243392, 1243403), (1243410, 1243422), (1243445, 1243455), (1243459, 1243463), (1243475, 1243481), (1243504, 1243513)]
ACAT1	all	107992242.0	+	chr11	[(107992126, 107992127), (107992284, 107992300), (107992316, 107992330)]
ACAT2	all	160181359.0	+	chr6	[]
ACBD3	all	226374430.0	-	chr1	[(226374373, 226374464), (226374593, 226374600)]
ACBD4	all	43213063.5	+	chr17	[(43213004, 43213086), (43213202, 43213212)]
ACBD5	all	27529743.0	-	chr10	[(27529507, 27529544), (27529649, 27529654), (27529665, 27529674), (27529675, 27529678), (27529689, 27529712), (27529716, 27529756), (27529759, 27529768), (27529774, 27529783), (27529799, 27529822)]
ACBD6	all	180472088.0	-	chr1	[(180471947, 180472028), (180472134, 180472135)]
ACBD7	all	15130774.0	-	chr10	[(15130630, 15130664)]
ACCS	all	44087817.0	+	chr11	[(44087725, 44087729), (44087762, 44087767), (44087778, 44087786), (44087803, 44087827), (44087842, 44087859), (44087862, 44087904), (44087921, 44087931), (44088002, 44088026)]
ACD	all	67694678.5	-	chr16	[(67694597, 67694610), (67694636, 67694649), (67694658, 67694671), (67694699, 67694720)]
ACE	all	61562183.0	+	chr17	[(61562178, 61562189), (61562201, 61562215), (61562224, 61562234)]
ACE2	ENST00000252519.3	15619136.0	-	chrX	[(15619060, 15619073), (15619076, 15619089), (15619200, 15619228), (15619330, 15619351)]
ACE2	ENST00000427411.1	15620191.0	-	chrX	[]
ACER1	all	6333639.0	-	chr19	[(6333588, 6333597), (6333599, 6333612), (6333614, 6333628)]
ACER2	all	19409056.0	+	chr9	[(19408919, 19408931), (19408936, 19408962), (19408963, 19408987), (19408999, 19409016)]
ACER3	all	76571916.0	+	chr11	[(76571762, 76571794), (76571935, 76571991)]
ACHE	ENST00000241069.5	100493508.0	-	chr7	[(100493499, 100493515), (100493699, 100493740)]
ACHE	ENST00000241069.5,ENST00000428317.1	100493630.0	-	chr7	[(100493499, 100493515), (100493699, 100493740), (100493744, 100493759), (100493818, 100493856)]
ACHE	ENST00000412389.1	100492008.0	-	chr7	[(100491869, 100491891), (100491969, 100491971), (100492110, 100492111)]
ACHE	ENST00000428317.1	100493752.0	-	chr7	[(100493699, 100493740), (100493744, 100493759), (100493818, 100493856), (100493892, 100493918)]
ACIN1	ENST00000262710.1,ENST00000457657.1	23564822.0	-	chr14	[(23564631, 23564668), (23564674, 23564684)]
ACIN1	ENST00000555053.1	23564591.0	-	chr14	[(23564631, 23564668), (23564674, 23564684)]
ACIN1	all	23564745.0	-	chr14	[(23564631, 23564668), (23564674, 23564684)]
ACKR2	ENST00000273145.2	42861110.0	+	chr3	[]
ACKR2	ENST00000442925.1,ENST00000422265.1	42850965.0	+	chr3	[(42850917, 42850927), (42850931, 42850953), (42850959, 42850986)]
ACLY	all	40075249.5	-	chr17	[(40075197, 40075213), (40075219, 40075263)]
ACN9	all	96745901.0	+	chr7	[(96745963, 96745989)]
ACO1	all	32384617.0	+	chr9	[(32384526, 32384541), (32384617, 32384709)]
ACO2	all	41865128.0	+	chr22	[(41865109, 41865152), (41865310, 41865331)]
ACOT1	all	74003817.0	+	chr14	[(74003825, 74003836), (74003840, 74003852), (74003991, 74004001)]
ACOT11	all	55013900.0	+	chr1	[(55013883, 55013884), (55013889, 55013912), (55013918, 55013934)]
ACOT12	all	80689961.0	-	chr5	[(80689870, 80689875), (80689945, 80689958), (80689983, 80689994), (80690025, 80690029), (80690080, 80690082), (80690119, 80690120)]
ACOT13	all	24667298.0	+	chr6	[(24667137, 24667168), (24667257, 24667365), (24667368, 24667379), (24667383, 24667426), (24667464, 24667475)]
ACOT2	all	74035762.0	+	chr14	[(74035731, 74035746), (74035758, 74035777), (74035911, 74035922)]
ACOT4	all	74058409.0	+	chr14	[(74058358, 74058387), (74058481, 74058484), (74058550, 74058592)]
ACOT6	all	74083547.0	+	chr14	[]
ACOT7	ENST00000377845.3	6420766.0	-	chr1	[(6420682, 6420689), (6420713, 6420725), (6420737, 6420779), (6420839, 6420867), (6420906, 6420907)]
ACOT7	ENST00000377855.2	6445872.0	-	chr1	[(6445679, 6445710), (6445792, 6445799), (6445809, 6445885)]
ACOT7	ENST00000608083.1	6453420.0	-	chr1	[(6453399, 6453423), (6453426, 6453447), (6453453, 6453464), (6453466, 6453483)]
ACOT8	all	44486044.0	-	chr20	[(44485992, 44486056)]
ACOT9	all	23761392.0	-	chrX	[(23761169, 23761196), (23761317, 23761419), (23761481, 23761483), (23761528, 23761541), (23761551, 23761556)]
ACOX1	ENST00000293217.5	73975443.0	-	chr17	[(73975198, 73975269), (73975276, 73975285), (73975331, 73975337), (73975396, 73975403), (73975441, 73975442), (73975461, 73975528)]
ACOX1	ENST00000301608.4	73975214.0	-	chr17	[(73975085, 73975128), (73975174, 73975188), (73975198, 73975269), (73975276, 73975285), (73975331, 73975337), (73975396, 73975403)]
ACOX1	all	73975328.5	-	chr17	[(73975174, 73975188), (73975198, 73975269), (73975276, 73975285), (73975331, 73975337), (73975396, 73975403), (73975441, 73975442), (73975461, 73975528)]
ACOX2	all	58523045.0	-	chr3	[(58522868, 58522879), (58522880, 58522905), (58522908, 58522935), (58523010, 58523013), (58523027, 58523032), (58523053, 58523054), (58523066, 58523078), (58523080, 58523098), (58523104, 58523127)]
ACOX3	ENST00000356406.5	8442437.0	-	chr4	[(8442314, 8442315), (8442439, 8442465)]
ACOX3	ENST00000503233.1	8430212.0	-	chr4	[(8430123, 8430143), (8430152, 8430200), (8430208, 8430217)]
ACOXL	all	111490149.0	+	chr2	[(111490016, 111490025), (111490127, 111490131), (111490144, 111490155), (111490161, 111490216), (111490257, 111490258)]
ACP1	all	264869.5	+	chr2	[(264890, 264906), (264913, 264964)]
ACP2	all	47270456.0	-	chr11	[(47270341, 47270375)]
ACP5	ENST00000218758.5,ENST00000412435.2,ENST00000592828.1	11689797.3333	-	chr19	[(11689583, 11689611), (11689703, 11689718), (11689732, 11689743), (11689752, 11689799), (11689803, 11689815), (11689881, 11689896), (11689934, 11689959)]
ACP5	ENST00000433365.2	11688555.0	-	chr19	[(11688452, 11688486), (11688500, 11688523)]
ACP6	all	147142617.0	-	chr1	[(147142557, 147142620), (147142627, 147142628), (147142635, 147142652), (147142660, 147142665)]
ACPL2	all	140950685.5	+	chr3	[(140950546, 140950552), (140950558, 140950573), (140950612, 140950736), (140950796, 140950802), (140950813, 140950820), (140950857, 140950860)]
ACPP	all	132036250.0	+	chr3	[(132036207, 132036218), (132036224, 132036235), (132036243, 132036268), (132036271, 132036287), (132036297, 132036304), (132036352, 132036365), (132036369, 132036382)]
ACPT	all	51293671.0	+	chr19	[]
ACR	all	51176623.0	+	chr22	[(51176626, 51176663), (51176673, 51176681)]
ACRBP	all	6756625.0	-	chr12	[(6756498, 6756501), (6756512, 6756521), (6756538, 6756545), (6756562, 6756607), (6756609, 6756620)]
ACRC	ENST00000373695.1	70800134.0	+	chrX	[]
ACRC	ENST00000373696.3	70798260.0	+	chrX	[(70798255, 70798256), (70798285, 70798290)]
ACSBG1	all	78527048.0	-	chr15	[(78526855, 78526916), (78526942, 78526953)]
ACSBG2	all	6135690.66667	+	chr19	[(6135638, 6135645), (6135656, 6135725)]
ACSF2	all	48503518.0	+	chr17	[(48503484, 48503499), (48503571, 48503597), (48503603, 48503622)]
ACSF3	all	89160253.0	+	chr16	[(89160228, 89160241), (89160245, 89160268), (89160269, 89160349), (89160350, 89160351)]
ACSL1	ENST00000281455.2	185747247.0	-	chr4	[(185747114, 185747128), (185747194, 185747242)]
ACSL1	ENST00000504342.1	185733412.0	-	chr4	[(185733290, 185733292), (185733606, 185733607)]
ACSL1	ENST00000515030.1	185747971.0	-	chr4	[(185747881, 185747888), (185747910, 185747913), (185747971, 185747975), (185748000, 185748007)]
ACSL3	all	223725655.0	+	chr2	[(223725527, 223725543), (223725696, 223725705), (223725723, 223725765), (223725782, 223725795)]
ACSL4	all	108976631.0	-	chrX	[(108976410, 108976445), (108976449, 108976501), (108976521, 108976545), (108976736, 108976750)]
ACSL5	ENST00000354273.4	114135956.0	+	chr10	[(114135780, 114135783), (114135850, 114135859), (114135865, 114135874), (114135952, 114136022), (114136035, 114136051), (114136055, 114136067)]
ACSL5	ENST00000354655.4	114133775.0	+	chr10	[(114133773, 114133784), (114133868, 114133893), (114133905, 114133922), (114133934, 114133945), (114133946, 114133953)]
ACSL5	ENST00000393081.1	114135022.0	+	chr10	[(114134846, 114134867), (114134886, 114134895), (114134928, 114134933), (114134954, 114135003), (114135004, 114135033), (114135045, 114135058), (114135060, 114135085), (114135111, 114135120), (114135140, 114135145), (114135168, 114135173)]
ACSL6	ENST00000379240.1	131330271.0	-	chr5	[(131330258, 131330259), (131330285, 131330308), (131330315, 131330321)]
ACSL6	ENST00000379244.1	131335316.0	-	chr5	[(131335358, 131335378), (131335380, 131335396)]
ACSL6	ENST00000543479.1	131347521.0	-	chr5	[(131347321, 131347371), (131347487, 131347498), (131347501, 131347515), (131347540, 131347545), (131347600, 131347620), (131347629, 131347645)]
ACSM1	ENST00000307493.4	20702577.0	-	chr16	[]
ACSM1	ENST00000520010.1	20709065.0	-	chr16	[(20708998, 20709009), (20709040, 20709047)]
ACSM2A	ENST00000219054.6,ENST00000575690.1	20462914.0	+	chr16	[(20462841, 20462865)]
ACSM2A	ENST00000396104.2	20471425.0	+	chr16	[]
ACSM2A	ENST00000573854.1,ENST00000219054.6	20462901.0	+	chr16	[(20462841, 20462865)]
ACSM2A	ENST00000573854.1,ENST00000219054.6,ENST00000575690.1	20462908.3333	+	chr16	[(20462841, 20462865)]
ACSM2A	ENST00000575690.1	20462923.0	+	chr16	[(20462841, 20462865)]
ACSM2B	ENST00000329697.6,ENST00000567001.1	20587656.5	-	chr16	[(20587665, 20587689)]
ACSM2B	ENST00000565232.1,ENST00000567001.1	20587616.0	-	chr16	[(20587665, 20587689)]
ACSM2B	all	20587640.0	-	chr16	[(20587665, 20587689)]
ACSM3	all	20775023.0	+	chr16	[]
ACSM4	all	7456879.0	+	chr12	[]
ACSM5	all	20420855.0	+	chr16	[(20420849, 20420867), (20420880, 20420898), (20420912, 20420924)]
ACSS1	all	25038817.0	-	chr20	[(25038596, 25038619), (25038752, 25038785), (25038804, 25038816)]
ACSS2	all	33464237.0	+	chr20	[(33464178, 33464179), (33464203, 33464236), (33464344, 33464363), (33464368, 33464402), (33464407, 33464423)]
ACSS3	ENST00000261206.3	81471835.0	+	chr12	[(81471791, 81471806), (81471816, 81471840), (81471847, 81471877), (81472005, 81472006)]
ACSS3	ENST00000548058.1	81470989.0	+	chr12	[]
ACTA1	all	229569840.0	-	chr1	[(229569834, 229569849), (229569980, 229570011)]
ACTA2	ENST00000224784.6	90712529.0	-	chr10	[]
ACTA2	ENST00000458208.1	90751146.0	-	chr10	[(90750948, 90750976), (90750977, 90750980), (90750982, 90750999), (90751002, 90751013), (90751021, 90751032), (90751038, 90751131), (90751234, 90751252), (90751285, 90751329)]
ACTB	all	5570339.0	-	chr7	[(5570229, 5570234)]
ACTBL2	all	56778635.0	-	chr5	[(56778561, 56778604), (56778635, 56778640)]
ACTC1	all	35088339.0	-	chr15	[(35088335, 35088340)]
