gene	transcripts	chromosome	position	strand	annotation source
1110034G24Rik	ENSMUST00000061891.4	chr2	132686930	+	GENCODE
1110034G24Rik	ENSMUST00000110132.2	chr2	132690282	+	GENCODE
1110037F02Rik	ENSMUST00000059914.6	chr4	11485957	+	GENCODE
1110038F14Rik	ENSMUST00000071792.5	chr15	76948538	+	GENCODE
1110051M20Rik	ENSMUST00000102594.4	chr2	91444641	-	GENCODE
1110057K04Rik	ENSMUST00000037383.5	chr12	8208106	+	GENCODE
1110057P08Rik	ENSMUST00000089097.1	chr16	89174734	+	GENCODE
1110058L19Rik	ENSMUST00000027338.3	chr1	24005655	-	GENCODE
1110059E24Rik	ENSMUST00000038830.3	chr19	21652975	-	GENCODE
1110059G10Rik	ENSMUST00000035154.3	chr9	122950999	-	GENCODE
1110059M19Rik	ENSMUST00000040002.3	chrX	45090903	+	GENCODE
1110065P20Rik	ENSMUST00000106190.3	chr4	124850808	-	GENCODE
1190002N15Rik	ENSMUST00000113028.1	chr9	94538080	-	GENCODE
1190003K10Rik	ENSMUST00000180282.1	chr13	64497791	-	GENCODE
1190005I06Rik	ENSMUST00000123927.1	chr8	120634491	-	GENCODE
1190007I07Rik	ENSMUST00000079648.5,ENSMUST00000185168.1,ENSMUST00000183363.1	chr10	82623203	-	GENCODE
1190007I07Rik	ENSMUST00000176200.1	chr10	82622925	-	GENCODE
1200014J11Rik	ENSMUST00000021135.3	chr11	73047782	+	GENCODE
1300002K09Rik	ENSMUST00000030011.5	chr4	45848946	+	GENCODE
1300002K09Rik	ENSMUST00000107783.1	chr4	45848663	+	GENCODE
1300017J02Rik	ENSMUST00000035163.3	chr9	103288296	-	GENCODE
1500002C15Rik	ENSMUST00000178987.1	chr4	155734626	-	GENCODE
1500009C09Rik	ENSMUST00000136948.1	chr15	82252396	+	GENCODE
1500009C09Rik	ENSMUST00000143238.1	chr15	82256022	+	GENCODE
1500009L16Rik	ENSMUST00000150459.1	chr10	83722864	+	GENCODE
1500011B03Rik	ENSMUST00000112160.3,ENSMUST00000061251.5	chr5	114813959	-	GENCODE
1500012F01Rik	ENSMUST00000125674.1	chr2	167062933	+	GENCODE
1500015O10Rik	ENSMUST00000027217.8	chr1	43730601	+	GENCODE
1500035N22Rik	ENSMUST00000075081.6	chr5	24985841	+	GENCODE
1600002H07Rik	ENSMUST00000024930.7	chr17	24220789	-	GENCODE
1600002K03Rik	ENSMUST00000041882.6	chr10	80172943	+	GENCODE
1600012H06Rik	ENSMUST00000052691.8,ENSMUST00000164837.2,ENSMUST00000174004.1	chr17	14943226	+	GENCODE
1600012P17Rik	ENSMUST00000062159.2	chr1	158980462	-	GENCODE
1600012P17Rik	ENSMUST00000162474.1	chr1	158980070	-	GENCODE
1600014C10Rik	ENSMUST00000067854.8	chr7	38183786	+	GENCODE
1600014C10Rik	ENSMUST00000165308.1	chr7	38183216	+	GENCODE
1600014C23Rik	ENSMUST00000178179.1	chr17	45733843	-	GENCODE
1600014K23Rik	ENSMUST00000048382.4	chrX	85249678	+	GENCODE
1600015I10Rik	ENSMUST00000031837.7	chr6	48929894	+	GENCODE
1600016N20Rik	ENSMUST00000026573.5	chr7	141214079	-	GENCODE
1600029D21Rik	ENSMUST00000114474.1	chr9	50494524	+	GENCODE
1600029I14Rik	ENSMUST00000056103.4	chr9	99470439	+	GENCODE
1700001C02Rik	ENSMUST00000031078.3	chr5	30466058	+	GENCODE
1700001C19Rik	ENSMUST00000061885.8	chr17	47437374	-	GENCODE
1700001F09Rik	ENSMUST00000178178.1	chr14	43347810	-	GENCODE
1700001G17Rik	ENSMUST00000051203.5	chr1	33669842	+	GENCODE
1700001J03Rik	ENSMUST00000073721.5	chr5	146185303	-	GENCODE
1700001K19Rik	ENSMUST00000070659.5	chr12	110682618	-	GENCODE
1700001L19Rik	ENSMUST00000022007.6	chr13	68597438	+	GENCODE
1700001O22Rik	ENSMUST00000050003.8	chr2	30801706	-	GENCODE
1700001P01Rik	ENSMUST00000107576.1	chr11	97775917	-	GENCODE
1700003E16Rik	ENSMUST00000032106.4	chr6	83156403	+	GENCODE
1700003E24Rik	ENSMUST00000088134.3	chrX	93156153	+	GENCODE
1700003F12Rik	ENSMUST00000045116.4,ENSMUST00000109709.3	chr2	154548906	+	GENCODE
1700003H04Rik	ENSMUST00000047110.7	chr3	124581090	-	GENCODE
1700003M02Rik	ENSMUST00000029971.5	chr4	34730205	-	GENCODE
1700006A11Rik	ENSMUST00000029598.5	chr3	124426038	-	GENCODE
1700006E09Rik	ENSMUST00000010985.7	chr11	101987055	+	GENCODE
1700007B14Rik	ENSMUST00000034033.8	chr8	75448693	+	GENCODE
1700007B14Rik	ENSMUST00000121983.1	chr8	75448982	+	GENCODE
1700007G11Rik	ENSMUST00000080333.3	chr5	98329353	+	GENCODE
1700007K09Rik	ENSMUST00000033146.7	chr7	131327324	-	GENCODE
1700007K13Rik	ENSMUST00000086370.4	chr2	28466331	-	GENCODE
1700008A04Rik	ENSMUST00000109365.1,ENSMUST00000020508.2	chr11	32824582	-	GENCODE
1700008F21Rik	ENSMUST00000026912.6	chr8	129067133	+	GENCODE
1700008I05Rik	ENSMUST00000078605.6	chrX	135693789	-	GENCODE
1700008O03Rik	ENSMUST00000107933.1	chr7	44375029	-	GENCODE
1700008O03Rik	ENSMUST00000150886.1	chr7	44373599	-	GENCODE
1700008P02Rik	ENSMUST00000091364.2	chr3	6620442	-	GENCODE
1700009J07Rik	ENSMUST00000178996.1	chr10	77893419	+	GENCODE
1700009N14Rik	ENSMUST00000029955.4	chr4	39450294	+	GENCODE
1700009P17Rik	ENSMUST00000027959.4	chr1	171121660	+	GENCODE
1700010B08Rik	ENSMUST00000073081.5	chr2	173719414	+	GENCODE
1700010D01Rik	ENSMUST00000096366.4	chrX	95733260	-	GENCODE
1700010H22Rik	ENSMUST00000086912.4	chr5	98566761	-	GENCODE
1700010I14Rik	ENSMUST00000151609.1	chr17	8988356	+	GENCODE
1700010L04Rik	ENSMUST00000032872.9	chr7	82856262	+	GENCODE
1700011A15Rik	ENSMUST00000023781.7	chr15	101447744	+	GENCODE
1700011E24Rik	ENSMUST00000040609.2	chr17	87427740	-	GENCODE
1700011H14Rik	ENSMUST00000022398.7	chr14	49245427	-	GENCODE
1700011I03Rik	ENSMUST00000079738.3,ENSMUST00000135806.1,ENSMUST00000127130.2	chr18	57533829	+	GENCODE
1700011I03Rik	ENSMUST00000123872.1	chr18	57563175	+	GENCODE
1700011L22Rik	ENSMUST00000034109.4	chr8	79248582	-	GENCODE
1700011M02Rik	ENSMUST00000113602.1	chrX	102908904	+	GENCODE
1700012A03Rik	ENSMUST00000031778.4	chr6	32050245	+	GENCODE
1700012B07Rik	ENSMUST00000106674.1,ENSMUST00000020941.4	chr11	109828033	-	GENCODE
1700012B09Rik	ENSMUST00000060330.3	chr9	14771029	-	GENCODE
1700012L04Rik	ENSMUST00000177926.1	chrX	9283763	+	GENCODE
1700012P22Rik	ENSMUST00000030323.2	chr4	144438771	-	GENCODE
1700013D24Rik	ENSMUST00000112537.2	chr6	124357085	-	GENCODE
1700013F07Rik	ENSMUST00000029485.5	chr3	108537540	+	GENCODE
1700013G24Rik	ENSMUST00000048893.3	chr4	137453283	+	GENCODE
1700013H16Rik	ENSMUST00000067940.2	chrX	53757830	-	GENCODE
1700014D04Rik	ENSMUST00000055343.2	chr13	59742749	-	GENCODE
1700015E13Rik	ENSMUST00000056991.5	chr1	170308802	+	GENCODE
1700015F17Rik	ENSMUST00000115447.1	chr5	5479142	-	GENCODE
1700015G11Rik	ENSMUST00000180038.1	chr7	52015715	-	GENCODE
1700016C15Rik	ENSMUST00000016106.5	chr1	177729813	+	GENCODE
1700016D06Rik	ENSMUST00000033906.4	chr8	11678749	-	GENCODE
1700016D08Rik	ENSMUST00000181699.1	chr16	3909191	-	GENCODE
1700016H13Rik	ENSMUST00000119824.1	chr5	103656009	-	GENCODE
1700016H13Rik	ENSMUST00000134926.1,ENSMUST00000120108.1,ENSMUST00000120688.1	chr5	103655733	-	GENCODE
1700016K19Rik	ENSMUST00000066408.5	chr11	75999911	+	GENCODE
1700017B05Rik	ENSMUST00000034846.5	chr9	57262598	-	GENCODE
1700017D01Rik	ENSMUST00000025635.6	chr19	11130877	-	GENCODE
1700017N19Rik	ENSMUST00000041162.6	chr10	100592385	+	GENCODE
1700018A14Rik	ENSMUST00000037090.1	chr18	46199020	+	GENCODE
1700018B08Rik	ENSMUST00000034265.4	chr8	121541953	-	GENCODE
1700018B24Rik	ENSMUST00000036023.1	chr3	48609100	-	GENCODE
1700018C11Rik	ENSMUST00000102861.1,ENSMUST00000102862.3	chr4	63622421	-	GENCODE
1700018F24Rik	ENSMUST00000031624.3	chr5	145042989	+	GENCODE
1700019A02Rik	ENSMUST00000072235.3	chr1	53187616	-	GENCODE
1700019B03Rik	ENSMUST00000047265.6	chr8	3470861	+	GENCODE
1700019B03Rik	ENSMUST00000161680.1	chr8	3475848	+	GENCODE
1700019D03Rik	ENSMUST00000050567.4	chr1	52952843	-	GENCODE
1700019D03Rik	ENSMUST00000114492.1	chr1	52953349	-	GENCODE
1700019D03Rik	ENSMUST00000114493.1	chr1	52963259	-	GENCODE
1700019G17Rik	ENSMUST00000095757.3	chr6	85904883	-	GENCODE
1700019L03Rik	ENSMUST00000102813.1	chr2	32784427	-	GENCODE
1700019M22Rik	ENSMUST00000073560.3	chr12	96047221	-	GENCODE
1700019N19Rik	ENSMUST00000028299.4	chr19	58794460	-	GENCODE
1700019N19Rik	ENSMUST00000166692.1	chr19	58793282	-	GENCODE
1700019O17Rik	ENSMUST00000046004.4	chr1	86426328	+	GENCODE
1700020A23Rik	ENSMUST00000110281.1,ENSMUST00000028898.3	chr2	130405276	+	GENCODE
1700020L24Rik	ENSMUST00000037378.4	chr11	83437685	+	GENCODE
1700020N01Rik	ENSMUST00000057341.4	chr10	21593157	+	GENCODE
1700020N15Rik	ENSMUST00000075654.1	chrX	69945299	+	GENCODE
1700021A07Rik	ENSMUST00000042671.4	chr10	21425341	+	GENCODE
1700021F05Rik	ENSMUST00000019932.3	chr10	43540993	-	GENCODE
1700021F07Rik	ENSMUST00000029023.3	chr2	173522585	+	GENCODE
1700021K19Rik	ENSMUST00000089684.3,ENSMUST00000040986.8	chr16	32868344	-	GENCODE
1700021P04Rik	ENSMUST00000178667.1	chr19	24064792	+	GENCODE
1700022I11Rik	ENSMUST00000030163.5	chr4	42969945	+	GENCODE
1700022P22Rik	ENSMUST00000077889.6	chr1	191036821	+	GENCODE
1700023E05Rik	ENSMUST00000031161.4,ENSMUST00000117880.1	chr5	77016022	+	GENCODE
1700023F06Rik	ENSMUST00000021323.4,ENSMUST00000107026.2	chr11	103208552	-	GENCODE
1700024B05Rik	ENSMUST00000168972.1	chr14	41943994	+	GENCODE
1700024G13Rik	ENSMUST00000100723.2	chr14	32388372	-	GENCODE
1700024P04Rik	ENSMUST00000054425.5	chr13	98984564	-	GENCODE
1700024P16Rik	ENSMUST00000106803.2,ENSMUST00000106804.1	chr4	104913489	+	GENCODE
1700025C18Rik	ENSMUST00000109304.1	chr2	165090749	-	GENCODE
1700025F22Rik	ENSMUST00000078770.4	chr19	11165319	-	GENCODE
1700025G04Rik	ENSMUST00000044581.7	chr1	152090319	-	GENCODE
1700025G04Rik	ENSMUST00000121533.1	chr1	152006766	-	GENCODE
1700026D08Rik	ENSMUST00000011298.7	chr7	83794879	-	GENCODE
1700026L06Rik	ENSMUST00000102877.1,ENSMUST00000124840.1	chr2	28699666	-	GENCODE
1700028J19Rik	ENSMUST00000037220.4	chr7	44236121	-	GENCODE
1700028K03Rik	ENSMUST00000058921.7	chr5	107534708	+	GENCODE
1700028P14Rik	ENSMUST00000035849.3	chr19	23652811	-	GENCODE
1700029F12Rik	ENSMUST00000091377.4	chr13	97034361	-	GENCODE
1700029H14Rik	ENSMUST00000134023.1	chr8	13562460	-	GENCODE
1700029I15Rik	ENSMUST00000054316.2	chr2	92382917	+	GENCODE
1700029J07Rik	ENSMUST00000095323.1,ENSMUST00000098786.2	chr8	45975251	-	GENCODE
1700029P11Rik	ENSMUST00000074608.3	chr15	81980539	+	GENCODE
1700030C10Rik	ENSMUST00000110971.2	chr12	20815726	-	GENCODE
1700030J22Rik	ENSMUST00000070577.5	chr8	116978942	-	GENCODE
1700030K09Rik	ENSMUST00000064853.6,ENSMUST00000121902.1	chr8	72443905	+	GENCODE
1700031F05Rik	ENSMUST00000048061.6	chrX	102866352	-	GENCODE
1700034E13Rik	ENSMUST00000118724.1,ENSMUST00000091904.5	chr18	52646211	+	GENCODE
1700034H15Rik	ENSMUST00000069573.5	chr1	191907526	-	GENCODE
1700034J04Rik	ENSMUST00000055358.2	chr12	11222209	-	GENCODE
1700034J05Rik	ENSMUST00000036592.8,ENSMUST00000111622.1	chr6	146954417	-	GENCODE
1700034O15Rik	ENSMUST00000031900.5	chr6	41684430	+	GENCODE
1700036A12Rik	ENSMUST00000178191.1	chr9	60769601	+	GENCODE
1700037C18Rik	ENSMUST00000115859.1	chr16	3908688	-	GENCODE
1700037C18Rik	ENSMUST00000177323.1	chr16	3907701	-	GENCODE
1700037H04Rik	ENSMUST00000103188.3	chr2	131160019	-	GENCODE
1700039E15Rik	ENSMUST00000085364.3	chr7	45282872	+	GENCODE
1700040F15Rik	ENSMUST00000178751.1	chrY	60242634	+	GENCODE
1700040L02Rik	ENSMUST00000020103.2	chr10	68541895	-	GENCODE
1700041G16Rik	ENSMUST00000068068.4	chr8	22808274	+	GENCODE
1700042B14Rik	ENSMUST00000076671.3	chrX	155128411	-	GENCODE
1700042G07Rik	ENSMUST00000106492.2	chr4	116173371	+	GENCODE
1700045I11Rik	ENSMUST00000179965.1	chr4	42170844	+	GENCODE
1700047I17Rik2	ENSMUST00000177978.1	chr12	55199532	+	GENCODE
1700048O20Rik	ENSMUST00000063103.4	chr9	121938134	+	GENCODE
1700049E17Rik1	ENSMUST00000164552.1	chr14	41924948	+	GENCODE
1700049E17Rik2	ENSMUST00000111874.2	chr14	41573341	+	GENCODE
1700049G17Rik	ENSMUST00000098639.2	chr7	27929429	-	GENCODE
1700051O22Rik	ENSMUST00000180883.1	chr8	85432685	+	GENCODE
1700052N19Rik	ENSMUST00000095893.4	chr10	4432466	+	GENCODE
1700054O13Rik	ENSMUST00000044987.1	chrX	9846946	+	GENCODE
1700055D18Rik	ENSMUST00000095105.1	chr4	45012829	+	GENCODE
1700055N04Rik	ENSMUST00000179433.1	chr19	3958807	+	GENCODE
1700056E22Rik	ENSMUST00000050306.5	chr1	184033997	-	GENCODE
1700057G04Rik	ENSMUST00000098477.1	chr9	92309376	+	GENCODE
1700060C20Rik	ENSMUST00000109506.1	chr2	158192008	+	GENCODE
1700061G19Rik	ENSMUST00000025048.6	chr17	56875476	+	GENCODE
1700061I17Rik	ENSMUST00000029642.5	chr3	117077764	-	GENCODE
1700063H04Rik	ENSMUST00000043553.3	chr6	122391378	+	GENCODE
1700064H15Rik	ENSMUST00000119133.1	chr3	19628676	-	GENCODE
1700065D16Rik	ENSMUST00000178038.1	chr9	95858319	-	GENCODE
1700065I17Rik	ENSMUST00000035640.6	chr18	56588349	+	GENCODE
1700066B19Rik	ENSMUST00000097617.2	chr18	35726988	+	GENCODE
1700066M21Rik	ENSMUST00000042734.2	chr1	57377619	+	GENCODE
1700067K01Rik	ENSMUST00000172548.1	chr8	84001703	+	GENCODE
1700067P10Rik	ENSMUST00000022028.4	chr17	48089631	+	GENCODE
1700069B07Rik	ENSMUST00000065310.2	chr7	121707188	+	GENCODE
1700069L16Rik	ENSMUST00000162388.1,ENSMUST00000047891.5	chr5	113724759	-	GENCODE
1700074P13Rik	ENSMUST00000122181.1,ENSMUST00000031935.3	chr6	40940526	-	GENCODE
1700080E11Rik	ENSMUST00000035180.3	chr9	105145081	-	GENCODE
1700080O16Rik	ENSMUST00000033449.1	chrX	51972771	-	GENCODE
1700080O16Rik	ENSMUST00000114866.1	chrX	51971046	-	GENCODE
1700084C01Rik	ENSMUST00000094348.3	chr1	169928647	+	GENCODE
1700084C01Rik	ENSMUST00000175731.1	chr1	169929928	+	GENCODE
1700084J12Rik	ENSMUST00000079057.6	chr15	33405975	-	GENCODE
1700084M14Rik	ENSMUST00000078832.4	chrX	91575910	-	GENCODE
1700086D15Rik	ENSMUST00000108696.1,ENSMUST00000020855.3	chr11	65159889	-	GENCODE
1700086L19Rik	ENSMUST00000095617.1	chr12	74288734	+	GENCODE
1700088E04Rik	ENSMUST00000169604.1	chr15	79141250	-	GENCODE
1700092M07Rik	ENSMUST00000163172.1	chr19	8740717	+	GENCODE
1700093K21Rik	ENSMUST00000020527.5	chr11	23519222	-	GENCODE
1700093K21Rik	ENSMUST00000169264.1	chr11	23519941	-	GENCODE
1700094D03Rik	ENSMUST00000029551.2	chr3	90062795	+	GENCODE
1700101E01Rik	ENSMUST00000157048.2	chr2	29055063	-	GENCODE
1700101G07Rik	ENSMUST00000077067.4	chr2	169582080	+	GENCODE
1700101I19Rik	ENSMUST00000062557.3	chr1	34579612	-	GENCODE
1700102P08Rik	ENSMUST00000035234.4	chr9	108392833	+	GENCODE
1700104B16Rik	ENSMUST00000079376.5	chr8	33731813	-	GENCODE
1700106J16Rik	ENSMUST00000037268.4	chr11	88294042	+	GENCODE
1700109H08Rik	ENSMUST00000008451.5	chr5	3571672	+	GENCODE
1700110I01Rik	ENSMUST00000179153.1	chr14	3270680	+	GENCODE
1700110M21Rik	ENSMUST00000057718.4	chr14	101200068	-	GENCODE
1700111E14Rik	ENSMUST00000031863.1	chr6	36937047	+	GENCODE
1700112E06Rik	ENSMUST00000075639.4,ENSMUST00000161249.1,ENSMUST00000159777.1,ENSMUST00000162540.1	chr14	22019806	+	GENCODE
1700113H08Rik	ENSMUST00000169849.1	chr10	87058045	+	GENCODE
1700119I11Rik	ENSMUST00000122270.1	chr13	91861431	+	GENCODE
1700120B22Rik	ENSMUST00000054837.3	chr10	63244147	-	GENCODE
1700122O11Rik	ENSMUST00000178823.1	chr17	48038292	-	GENCODE
1700123I01Rik	ENSMUST00000113528.1	chr19	6184466	+	GENCODE
1700123K08Rik	ENSMUST00000031501.1	chr5	138564693	-	GENCODE
1700123L14Rik	ENSMUST00000090061.4	chr6	96166204	-	GENCODE
1700123O20Rik	ENSMUST00000038539.6	chr14	54686170	+	GENCODE
1700125H20Rik	ENSMUST00000018623.3	chr11	85171095	+	GENCODE
1700128F08Rik	ENSMUST00000034483.4	chr9	8221888	+	GENCODE
1700129C05Rik	ENSMUST00000022548.3,ENSMUST00000162674.1,ENSMUST00000159858.1,ENSMUST00000162271.1	chr14	59142892	-	GENCODE
1810009A15Rik	ENSMUST00000096251.3	chr19	8888902	+	GENCODE
1810009J06Rik	ENSMUST00000076638.5	chr6	40964771	+	GENCODE
1810011H11Rik	ENSMUST00000039191.6	chr14	32785962	+	GENCODE
1810011O10Rik	ENSMUST00000052622.4	chr8	24438945	-	GENCODE
1810013L24Rik	ENSMUST00000023150.5	chr16	8830099	+	GENCODE
1810019J16Rik	ENSMUST00000042919.9,ENSMUST00000105901.1	chr4	133519022	+	GENCODE
1810022K09Rik	ENSMUST00000108365.2	chr3	14611220	-	GENCODE
1810024B03Rik	ENSMUST00000056146.1	chr2	127208279	-	GENCODE
1810026J23Rik	ENSMUST00000062125.10	chr9	21592721	+	GENCODE
1810030O07Rik	ENSMUST00000060108.6	chrX	12673667	-	GENCODE
1810032O08Rik	ENSMUST00000106378.1	chr11	116671668	+	GENCODE
1810033B17Rik	ENSMUST00000014118.2	chr8	3665761	+	GENCODE
1810037I17Rik	ENSMUST00000106429.3	chr3	122924361	+	GENCODE
1810041L15Rik	ENSMUST00000080751.2	chr15	84447096	-	GENCODE
1810043G02Rik	ENSMUST00000105397.3	chr10	77978523	+	GENCODE
1810043H04Rik	ENSMUST00000106223.2	chr11	120098927	+	GENCODE
1810046K07Rik	ENSMUST00000039959.4	chr9	51328916	-	GENCODE
1810049J17Rik	ENSMUST00000180521.1	chr15	12321898	-	GENCODE
1810055G02Rik	ENSMUST00000039048.1	chr19	3708332	+	GENCODE
1810062G17Rik	ENSMUST00000029268.6	chr3	36475936	+	GENCODE
1810064F22Rik	ENSMUST00000167359.1	chr9	22208545	-	GENCODE
1810065E05Rik	ENSMUST00000013797.2	chr11	58421110	+	GENCODE
2010001E11Rik	ENSMUST00000045526.3	chr10	39926922	-	GENCODE
2010002M12Rik	ENSMUST00000087357.3	chr19	34640742	-	GENCODE
2010002M12Rik	ENSMUST00000112463.1	chr19	34629809	-	GENCODE
2010003K11Rik	ENSMUST00000048482.6	chr19	4498582	-	GENCODE
2010005H15Rik	ENSMUST00000063539.6	chr16	36253045	+	GENCODE
2010007H06Rik	ENSMUST00000050829.1	chr9	51280294	+	GENCODE
2010012O05Rik	ENSMUST00000074912.7	chr19	46689905	+	GENCODE
2010015L04Rik	ENSMUST00000123952.2	chr4	155409257	+	GENCODE
2010016I18Rik	ENSMUST00000164330.1	chr3	106483436	-	GENCODE
2010106E10Rik	ENSMUST00000026602.2,ENSMUST00000113412.2	chrX	112495273	+	GENCODE
2010107E04Rik	ENSMUST00000021719.5	chr12	111966976	-	GENCODE
2010107G12Rik	ENSMUST00000147169.1	chr6	34955902	-	GENCODE
2010107G23Rik	ENSMUST00000125704.1,ENSMUST00000142796.1,ENSMUST00000124615.1,ENSMUST00000142821.1,ENSMUST00000064050.4	chr10	62111004	-	GENCODE
2010109A12Rik	ENSMUST00000031330.4	chr5	93206517	+	GENCODE
2010109I03Rik	ENSMUST00000077004.4	chr15	74881703	-	GENCODE
2010111I01Rik	ENSMUST00000021911.8	chr13	63015166	+	GENCODE
2010111I01Rik	ENSMUST00000091560.4	chr13	63014933	+	GENCODE
2010300C02Rik	ENSMUST00000162875.1	chr1	37720084	-	GENCODE
2010315B03Rik	ENSMUST00000071300.6	chr9	124304717	-	GENCODE
2010315B03Rik	ENSMUST00000177714.1	chr9	124311749	-	GENCODE
2200002D01Rik	ENSMUST00000032808.4	chr7	29248431	-	GENCODE
2200002J24Rik	ENSMUST00000013227.7	chr7	30699782	+	GENCODE
2210010C04Rik	ENSMUST00000031931.5	chr6	41035508	-	GENCODE
2210011C24Rik	ENSMUST00000056686.5	chr8	84011441	-	GENCODE
2210016F16Rik	ENSMUST00000022032.5	chr13	58385224	-	GENCODE
2210016L21Rik	ENSMUST00000031538.8	chr5	114942157	+	GENCODE
2210018M11Rik	ENSMUST00000038359.4	chr7	98656568	-	GENCODE
2210404O07Rik	ENSMUST00000105322.2	chr10	81393050	+	GENCODE
2210404O07Rik	ENSMUST00000118206.1	chr10	81393626	+	GENCODE
2210404O09Rik	ENSMUST00000106026.2	chr17	21908091	-	GENCODE
2210407C18Rik	ENSMUST00000048801.7	chr11	58613491	-	GENCODE
2210407C18Rik	ENSMUST00000108821.1	chr11	58616074	-	GENCODE
2210408I21Rik	ENSMUST00000168779.1	chr13	77135539	+	GENCODE
2210418O10Rik	ENSMUST00000099009.2	chr2	176226568	+	GENCODE
2300002M23Rik	ENSMUST00000044326.4	chr17	35567449	+	GENCODE
2300003K06Rik	ENSMUST00000105054.1	chr11	99838065	-	GENCODE
2300005B03Rik	ENSMUST00000057932.6	chr15	74746686	-	GENCODE
2300009A05Rik	ENSMUST00000168665.1	chr9	63399243	-	GENCODE
2310001K24Rik	ENSMUST00000065731.4	chr2	163472544	+	GENCODE
2310002J15Rik	ENSMUST00000043379.3	chr2	25239987	-	GENCODE
2310002J15Rik	ENSMUST00000114356.1	chr2	25242451	-	GENCODE
2310002L09Rik	ENSMUST00000030101.3,ENSMUST00000095023.1	chr4	73950844	-	GENCODE
2310003H01Rik	ENSMUST00000026448.9	chr11	120378763	-	GENCODE
2310003L06Rik	ENSMUST00000007601.3	chr5	87969458	+	GENCODE
2310005G13Rik	ENSMUST00000067173.6	chr16	57071345	-	GENCODE
2310007B03Rik	ENSMUST00000043718.5,ENSMUST00000143419.1	chr1	93160908	-	GENCODE
2310007L24Rik	ENSMUST00000009354.3	chr11	106365473	+	GENCODE
2310007L24Rik	ENSMUST00000106816.1	chr11	106374825	+	GENCODE
2310009B15Rik	ENSMUST00000112025.1	chr1	138856853	-	GENCODE
2310011J03Rik	ENSMUST00000020341.8	chr10	80320536	-	GENCODE
2310014L17Rik	ENSMUST00000045870.4	chr7	12927415	+	GENCODE
2310015B20Rik	ENSMUST00000020090.1	chr10	70204683	+	GENCODE
2310016G11Rik	ENSMUST00000094460.1	chr7	44676964	+	GENCODE
2310022A10Rik	ENSMUST00000067386.7	chr7	27553294	+	GENCODE
2310022B05Rik	ENSMUST00000034464.6	chr8	124663368	-	GENCODE
2310030G06Rik	ENSMUST00000034564.1	chr9	50746520	-	GENCODE
2310033P09Rik	ENSMUST00000020719.6	chr11	59208320	+	GENCODE
2310035C23Rik	ENSMUST00000086721.3	chr1	105663860	+	GENCODE
2310036O22Rik	ENSMUST00000047281.8	chr8	85026832	+	GENCODE
2310039H08Rik	ENSMUST00000071430.5	chr17	46772634	+	GENCODE
2310042D19Rik	ENSMUST00000105572.1	chr4	156215926	+	GENCODE
