gene	transcript	chromosome	strand	TSS source	primary TSS	secondary TSS
ABCA1	P1P2	chr9	-	CAGE, matched peaks	(107690428, 107690442)	(107690382, 107690393)
ABCA12	P1P2	chr2	-	CAGE, matched peaks	(216003325, 216003359)	(216003325, 216003359)
ABCA13	P1P2	chr7	+	CAGE, matched peaks	(48211048, 48211063)	(48211048, 48211063)
ABCA2	P1P2	chr9	-	CAGE, matched peaks	(139922671, 139922697)	(139922631, 139922658)
ABCA3	P1P2	chr16	-	CAGE, matched peaks	(2390704, 2390762)	(2390769, 2390789)
ABCA4	P1P2	chr1	-	CAGE, matched peaks	(94586651, 94586733)	(94586651, 94586733)
ABCA5	P1P2	chr17	-	CAGE, matched peaks	(67323232, 67323299)	(67323305, 67323331)
ABCA6	P1P2	chr17	-	CAGE, matched peaks	(67138020, 67138062)	(67138066, 67138082)
ABCA7	P1	chr19	+	CAGE, matched peaks	(1040096, 1040161)	(1040096, 1040161)
ABCA7	P2	chr19	+	CAGE, matched peaks	(1041212, 1041234)	(1041212, 1041234)
ABCA8	P1P2	chr17	-	CAGE, matched peaks	(66951474, 66951550)	(66951415, 66951429)
ABCA9	P1P2	chr17	-	CAGE, matched peaks	(67057061, 67057094)	(67057114, 67057126)
ABCB1	all	chr7	-	CAGE, robust peak	(87342698, 87342705)	(87342602, 87342617)
ABCB10	P1P2	chr1	-	CAGE, matched peaks	(229694406, 229694477)	(229694480, 229694499)
ABCB11	P1P2	chr2	-	CAGE, matched peaks	(169887827, 169887839)	(169887827, 169887839)
ABCB4	P1P2	chr7	-	CAGE, matched peaks	(87104963, 87105038)	(87105153, 87105185)
ABCB6	P1P2	chr2	-	CAGE, matched peaks	(220083671, 220083685)	(220083499, 220083603)
ABCB7	P1P2	chrX	-	CAGE, matched peaks	(74376108, 74376129)	(74376108, 74376129)
ABCB8	P1P2	chr7	+	CAGE, matched peaks	(150725523, 150725553)	(150725556, 150725576)
ABCB9	P1	chr12	-	CAGE, matched peaks	(123450986, 123451027)	(123450986, 123451027)
ABCB9	P2	chr12	-	CAGE, matched peaks	(123465764, 123465803)	(123465764, 123465803)
ABCC1	P1P2	chr16	+	CAGE, matched peaks	(16043454, 16043502)	(16043406, 16043423)
ABCC10	P1P2	chr6	+	CAGE, matched peaks	(43395272, 43395323)	(43395577, 43395640)
ABCC12	all	chr16	-	Annotation	(48180680.0, 48180680.0)	(48180680.0, 48180680.0)
ABCC2	P1P2	chr10	+	CAGE, matched peaks	(101542462, 101542535)	(101542384, 101542406)
ABCC3	P1P2	chr17	+	CAGE, matched peaks	(48712206, 48712285)	(48712143, 48712165)
ABCC4	P1P2	chr13	-	CAGE, matched peaks	(95953664, 95953740)	(95953664, 95953740)
ABCC5	P1P2	chr3	-	CAGE, matched peaks	(183735660, 183735727)	(183735731, 183735746)
ABCC6	all	chr16	-	Annotation	(16317320.0, 16317320.0)	(16317320.0, 16317320.0)
ABCC8	P1P2	chr11	-	CAGE, matched peaks	(17498348, 17498431)	(17498309, 17498335)
ABCC9	P1P2	chr12	-	CAGE, matched peaks	(22094350, 22094367)	(22094159, 22094192)
ABCD1	P1P2	chrX	+	CAGE, matched peaks	(152990302, 152990319)	(152990302, 152990319)
ABCD2	P1P2	chr12	-	CAGE, matched peaks	(40013582, 40013635)	(40013771, 40013792)
ABCD3	P1P2	chr1	+	CAGE, matched peaks	(94883931, 94883980)	(94883991, 94884008)
ABCD4	P1P2	chr14	-	CAGE, matched peaks	(74769653, 74769705)	(74769629, 74769648)
ABCE1	P1P2	chr4	+	CAGE, matched peaks	(146019421, 146019495)	(146019421, 146019495)
ABCF1	P1	chr6	+	CAGE, matched peaks	(30539204, 30539255)	(30539204, 30539255)
ABCF1	P2	chr6	+	CAGE, matched peaks	(30546295, 30546319)	(30546295, 30546319)
ABCF2	P1P2	chr7	-	CAGE, matched peaks	(150924271, 150924332)	(150924391, 150924407)
ABCF3	P1P2	chr3	+	CAGE, matched peaks	(183903943, 183903996)	(183903943, 183903996)
ABCG1	P1P2	chr21	+	CAGE, matched peaks	(43639211, 43639279)	(43639281, 43639287)
ABCG2	P1P2	chr4	-	CAGE, matched peaks	(89080003, 89080075)	(89079757, 89079802)
ABCG4	P1P2	chr11	+	CAGE, matched peaks	(119019738, 119019769)	(119019778, 119019795)
ABHD1	P1P2	chr2	+	CAGE, matched peaks	(27346666, 27346722)	(27346628, 27346658)
ABHD10	P1P2	chr3	+	CAGE, matched peaks	(111697843, 111697908)	(111697825, 111697838)
ABHD11	P1P2	chr7	-	CAGE, matched peaks	(73153122, 73153148)	(73153161, 73153177)
ABHD12	P1P2	chr20	-	CAGE, matched peaks	(25371412, 25371507)	(25371412, 25371507)
ABHD13	P1P2	chr13	+	CAGE, matched peaks	(108870828, 108870878)	(108870714, 108870780)
ABHD14A	P1P2	chr3	+	CAGE, matched peaks	(52009067, 52009102)	(52009110, 52009147)
ABHD14B	P1	chr3	-	CAGE, matched peaks	(52008016, 52008071)	(52008016, 52008071)
ABHD14B	P2	chr3	-	CAGE, matched peaks	(52017372, 52017389)	(52017372, 52017389)
ABHD15	P1P2	chr17	-	CAGE, matched peaks	(27893990, 27894060)	(27894199, 27894229)
ABHD17A	P1P2	chr19	-	CAGE, matched peaks	(1885483, 1885507)	(1885511, 1885526)
ABHD17B	P1P2	chr9	-	CAGE, matched peaks	(74526099, 74526124)	(74526141, 74526156)
ABHD17C	P1P2	chr15	+	CAGE, matched peaks	(80987617, 80987720)	(80987617, 80987720)
ABHD2	P1P2	chr15	+	CAGE, matched peaks	(89631647, 89631725)	(89631731, 89631746)
ABHD3	P1P2	chr18	-	CAGE, matched peaks	(19284724, 19284779)	(19284524, 19284529)
ABHD4	P1P2	chr14	+	CAGE, matched peaks	(23067166, 23067219)	(23067151, 23067160)
ABHD5	P1P2	chr3	+	CAGE, matched peaks	(43732420, 43732436)	(43732373, 43732408)
ABHD6	P1P2	chr3	+	CAGE, matched peaks	(58223500, 58223573)	(58223285, 58223315)
ABHD8	P1P2	chr19	-	CAGE, matched peaks	(17414179, 17414249)	(17414127, 17414154)
ABI1	P1P2	chr10	-	CAGE, matched peaks	(27149851, 27149898)	(27149817, 27149850)
ABI2	P1P2	chr2	+	CAGE, matched peaks	(204192989, 204193038)	(204193101, 204193128)
ABL1	all	chr9	+	CAGE, robust peak	(133589177, 133589193)	(133589300, 133589336)
ABL2	P1	chr1	-	CAGE, matched peaks	(179112189, 179112219)	(179112189, 179112219)
ABL2	P2	chr1	-	CAGE, matched peaks	(179198806, 179198832)	(179198806, 179198832)
ABLIM1	all	chr10	-	CAGE, robust peak	(116418066, 116418075)	(116417910, 116417911)
ABLIM2	P1P2	chr4	-	CAGE, matched peaks	(8160512, 8160582)	(8160512, 8160582)
ABLIM3	P1P2	chr5	+	CAGE, matched peaks	(148521047, 148521076)	(148521286, 148521377)
ABO	P1	chr9	-	CAGE, matched peaks	(136150607, 136150648)	(136150607, 136150648)
ABO	P2	chr9	-	CAGE, matched peaks	(136130909, 136130950)	(136130909, 136130950)
ABR	P1P2	chr17	-	CAGE, matched peaks	(1083234, 1083294)	(1083234, 1083294)
ABRA	P1P2	chr8	-	CAGE, matched peaks	(107782463, 107782479)	(107782452, 107782461)
ABRACL	P1P2	chr6	+	CAGE, matched peaks	(139349817, 139349899)	(139349903, 139349944)
ABT1	P1P2	chr6	+	CAGE, matched peaks	(26597155, 26597213)	(26597363, 26597406)
ABTB1	P1P2	chr3	+	CAGE, matched peaks	(127391769, 127391861)	(127391769, 127391861)
ABTB2	P1P2	chr11	-	CAGE, matched peaks	(34379546, 34379563)	(34379574, 34379590)
ACAA1	P1P2	chr3	-	CAGE, matched peaks	(38178534, 38178632)	(38178646, 38178655)
ACAA2	P1P2	chr18	-	CAGE, matched peaks	(47339882, 47339910)	(47339911, 47339949)
ACACA	P1P2	chr17	-	CAGE, matched peaks	(35716019, 35716079)	(35716019, 35716079)
ACACB	P1	chr12	+	CAGE, matched peaks	(109569155, 109569172)	(109569155, 109569172)
ACACB	P2	chr12	+	CAGE, matched peaks	(109592477, 109592501)	(109592477, 109592501)
ACAD10	P1P2	chr12	+	CAGE, matched peaks	(112123850, 112123913)	(112123837, 112123844)
ACAD11	P1P2	chr3	-	CAGE, matched peaks	(132378636, 132378666)	(132378919, 132378959)
ACAD8	P1P2	chr11	+	CAGE, matched peaks	(134123425, 134123485)	(134123416, 134123421)
ACAD9	P1P2	chr3	+	CAGE, matched peaks	(128598433, 128598511)	(128598433, 128598511)
ACADL	P1P2	chr2	-	CAGE, matched peaks	(211090089, 211090121)	(211090162, 211090179)
ACADM	P1P2	chr1	+	CAGE, matched peaks	(76190357, 76190457)	(76190076, 76190140)
ACADS	P1P2	chr12	+	CAGE, matched peaks	(121163602, 121163682)	(121163596, 121163599)
ACADSB	P1P2	chr10	+	CAGE, matched peaks	(124768482, 124768542)	(124768466, 124768477)
ACADVL	P1P2	chr17	+	CAGE, matched peaks	(7123207, 7123275)	(7123176, 7123205)
ACAN	P1P2	chr15	+	CAGE, matched peaks	(89346657, 89346673)	(89346699, 89346715)
ACAP1	P1P2	chr17	+	CAGE, matched peaks	(7239821, 7239902)	(7239904, 7239915)
ACAP2	P1P2	chr3	-	CAGE, matched peaks	(195163706, 195163777)	(195163803, 195163826)
ACAP3	P1P2	chr1	-	CAGE, matched peaks	(1243252, 1243318)	(1243214, 1243229)
ACAT1	P1P2	chr11	+	CAGE, matched peaks	(107992284, 107992300)	(107992316, 107992330)
ACAT2	P1P2	chr6	+	CAGE, matched peaks	(160183023, 160183104)	(160183527, 160183598)
ACBD3	P1P2	chr1	-	CAGE, matched peaks	(226374373, 226374464)	(226374114, 226374143)
ACBD4	P1	chr17	+	CAGE, matched peaks	(43213004, 43213086)	(43213004, 43213086)
ACBD4	P2	chr17	+	CAGE, matched peaks	(43209974, 43210005)	(43209974, 43210005)
ACBD5	P1P2	chr10	-	CAGE, matched peaks	(27529716, 27529756)	(27529408, 27529427)
ACBD6	P1P2	chr1	-	CAGE, matched peaks	(180471671, 180471764)	(180471947, 180472028)
ACBD7	P1P2	chr10	-	CAGE, matched peaks	(15130767, 15130782)	(15130475, 15130486)
ACCS	P1P2	chr11	+	CAGE, matched peaks	(44088027, 44088086)	(44087862, 44087904)
ACD	P1P2	chr16	-	CAGE, matched peaks	(67694129, 67694182)	(67694183, 67694205)
ACE	P1	chr17	+	CAGE, matched peaks	(61554413, 61554430)	(61554413, 61554430)
ACE	P2	chr17	+	CAGE, matched peaks	(61562201, 61562215)	(61562201, 61562215)
ACE2	P1P2	chrX	-	CAGE, matched peaks	(15619060, 15619073)	(15619076, 15619089)
ACER1	P1P2	chr19	-	CAGE, matched peaks	(6333599, 6333612)	(6333614, 6333628)
ACER2	P1P2	chr9	+	CAGE, matched peaks	(19408999, 19409016)	(19408936, 19408962)
ACER3	P1P2	chr11	+	CAGE, matched peaks	(76571935, 76571991)	(76571762, 76571794)
ACHE	P1	chr7	-	CAGE, matched peaks	(100493499, 100493515)	(100493499, 100493515)
ACHE	P2	chr7	-	CAGE, matched peaks	(100494586, 100494624)	(100494586, 100494624)
ACIN1	P1	chr14	-	CAGE, matched peaks	(23564320, 23564362)	(23564320, 23564362)
ACIN1	P2	chr14	-	CAGE, matched peaks	(23540760, 23540800)	(23540760, 23540800)
ACKR2	P1P2	chr3	+	CAGE, matched peaks	(42850931, 42850953)	(42850959, 42850986)
ACLY	P1P2	chr17	-	CAGE, matched peaks	(40075197, 40075213)	(40075219, 40075263)
ACN9	P1P2	chr7	+	CAGE, matched peaks	(96746988, 96747028)	(96747057, 96747073)
ACO1	P1P2	chr9	+	CAGE, matched peaks	(32384617, 32384709)	(32384617, 32384709)
ACO2	P1P2	chr22	+	CAGE, matched peaks	(41865109, 41865152)	(41865109, 41865152)
ACOT1	P1P2	chr14	+	CAGE, matched peaks	(74003840, 74003852)	(74004017, 74004036)
ACOT11	P1	chr1	+	CAGE, matched peaks	(55013889, 55013912)	(55013889, 55013912)
ACOT11	P2	chr1	+	CAGE, matched peaks	(55007925, 55007966)	(55007925, 55007966)
ACOT12	P1P2	chr5	-	CAGE, matched peaks	(80689945, 80689958)	(80689983, 80689994)
ACOT13	P1P2	chr6	+	CAGE, matched peaks	(24667257, 24667365)	(24667383, 24667426)
ACOT2	P1P2	chr14	+	CAGE, matched peaks	(74035970, 74036005)	(74035911, 74035922)
ACOT4	P1P2	chr14	+	CAGE, matched peaks	(74058838, 74058879)	(74058550, 74058592)
ACOT6	P1P2	chr14	+	CAGE, matched peaks	(74077640, 74077644)	(74077640, 74077644)
ACOT7	P1P2	chr1	-	CAGE, matched peaks	(6453426, 6453447)	(6453399, 6453423)
ACOT8	P1P2	chr20	-	CAGE, matched peaks	(44485992, 44486056)	(44485992, 44486056)
ACOT9	P1P2	chrX	-	CAGE, matched peaks	(23761317, 23761419)	(23761528, 23761541)
ACOX1	P1P2	chr17	-	CAGE, matched peaks	(73975198, 73975269)	(73975461, 73975528)
ACOX2	P1	chr3	-	CAGE, matched peaks	(58522908, 58522935)	(58522908, 58522935)
ACOX2	P2	chr3	-	CAGE, matched peaks	(58512482, 58512504)	(58512482, 58512504)
ACOX3	P1	chr4	-	CAGE, matched peaks	(8430152, 8430200)	(8430152, 8430200)
ACOX3	P2	chr4	-	CAGE, matched peaks	(8442439, 8442465)	(8442439, 8442465)
ACOXL	P1P2	chr2	+	CAGE, matched peaks	(111490161, 111490216)	(111490144, 111490155)
ACP1	P1P2	chr2	+	CAGE, matched peaks	(264913, 264964)	(264890, 264906)
ACP2	P1P2	chr11	-	CAGE, matched peaks	(47270341, 47270375)	(47270341, 47270375)
ACP5	P1	chr19	-	CAGE, matched peaks	(11688452, 11688486)	(11688452, 11688486)
ACP5	P2	chr19	-	CAGE, matched peaks	(11689752, 11689799)	(11689752, 11689799)
ACP6	P1P2	chr1	-	CAGE, matched peaks	(147142358, 147142407)	(147142557, 147142620)
ACPL2	P1P2	chr3	+	CAGE, matched peaks	(140950612, 140950736)	(140950612, 140950736)
ACPP	P1P2	chr3	+	CAGE, matched peaks	(132036243, 132036268)	(132036271, 132036287)
ACPT	all	chr19	+	Annotation	(51293671.0, 51293671.0)	(51293671.0, 51293671.0)
ACR	P1P2	chr22	+	CAGE, matched peaks	(51176626, 51176663)	(51176673, 51176681)
ACRBP	P1P2	chr12	-	CAGE, matched peaks	(6756562, 6756607)	(6756609, 6756620)
ACRC	P1P2	chrX	+	CAGE, matched peaks	(70798285, 70798290)	(70797858, 70797903)
ACSBG1	P1P2	chr15	-	CAGE, matched peaks	(78526855, 78526916)	(78526855, 78526916)
ACSBG2	P1P2	chr19	+	CAGE, matched peaks	(6135656, 6135725)	(6135638, 6135645)
ACSF2	P1P2	chr17	+	CAGE, matched peaks	(48503603, 48503622)	(48503571, 48503597)
ACSF3	P1P2	chr16	+	CAGE, matched peaks	(89160269, 89160349)	(89160245, 89160268)
ACSL1	P1P2	chr4	-	CAGE, matched peaks	(185747114, 185747128)	(185747194, 185747242)
ACSL3	P1P2	chr2	+	CAGE, matched peaks	(223725723, 223725765)	(223725782, 223725795)
ACSL4	P1P2	chrX	-	CAGE, matched peaks	(108976449, 108976501)	(108976410, 108976445)
ACSL5	P1	chr10	+	CAGE, matched peaks	(114135952, 114136022)	(114135952, 114136022)
ACSL5	P2	chr10	+	CAGE, matched peaks	(114133905, 114133922)	(114133905, 114133922)
ACSL6	P1	chr5	-	CAGE, matched peaks	(131347321, 131347371)	(131347321, 131347371)
ACSL6	P2	chr5	-	CAGE, matched peaks	(131310685, 131310713)	(131310685, 131310713)
ACSM1	P1P2	chr16	-	CAGE, matched peaks	(20687478, 20687488)	(20687517, 20687527)
ACSM2A	P1P2	chr16	+	CAGE, matched peaks	(20462841, 20462865)	(20462841, 20462865)
ACSM2B	P1P2	chr16	-	CAGE, matched peaks	(20587665, 20587689)	(20587665, 20587689)
ACSM3	P1P2	chr16	+	CAGE, matched peaks	(20775312, 20775352)	(20775358, 20775386)
ACSM4	all	chr12	+	Annotation	(7456879.0, 7456879.0)	(7456879.0, 7456879.0)
ACSM5	P1P2	chr16	+	CAGE, matched peaks	(20420849, 20420867)	(20420880, 20420898)
ACSS1	P1P2	chr20	-	CAGE, matched peaks	(25038752, 25038785)	(25038804, 25038816)
ACSS2	P1P2	chr20	+	CAGE, matched peaks	(33464407, 33464423)	(33464368, 33464402)
ACSS3	P1P2	chr12	+	CAGE, matched peaks	(81471847, 81471877)	(81471816, 81471840)
ACTA1	P1	chr1	-	CAGE, matched peaks	(229569834, 229569849)	(229569834, 229569849)
ACTA1	P2	chr1	-	CAGE, matched peaks	(229568763, 229568795)	(229568763, 229568795)
ACTA2	P1	chr10	-	CAGE, matched peaks	(90712520, 90712536)	(90712520, 90712536)
ACTA2	P2	chr10	-	CAGE, matched peaks	(90751038, 90751131)	(90751038, 90751131)
ACTB	P1P2	chr7	-	CAGE, matched peaks	(5570229, 5570234)	(5569255, 5569346)
ACTBL2	P1P2	chr5	-	CAGE, matched peaks	(56778635, 56778640)	(56778635, 56778640)
ACTC1	P1P2	chr15	-	CAGE, matched peaks	(35087742, 35087757)	(35087070, 35087134)
ACTG1	P1P2	chr17	-	CAGE, matched peaks	(79479822, 79479830)	(79479285, 79479321)
ACTG2	P1	chr2	+	CAGE, matched peaks	(74120126, 74120142)	(74120126, 74120142)
ACTG2	P2	chr2	+	CAGE, matched peaks	(74128392, 74128423)	(74128392, 74128423)
ACTL6A	P1P2	chr3	+	CAGE, matched peaks	(179280702, 179280769)	(179280702, 179280769)
ACTL6B	P1P2	chr7	-	CAGE, matched peaks	(100253993, 100254078)	(100253993, 100254078)
ACTL7A	P1P2	chr9	+	CAGE, matched peaks	(111624535, 111624567)	(111624529, 111624534)
ACTL7B	P1P2	chr9	-	CAGE, matched peaks	(111618258, 111618269)	(111618258, 111618269)
ACTL8	P1P2	chr1	+	CAGE, matched peaks	(18081804, 18081883)	(18081804, 18081883)
ACTN1	P1P2	chr14	-	CAGE, matched peaks	(69445991, 69446029)	(69445968, 69445984)
ACTN2	P1P2	chr1	+	CAGE, matched peaks	(236849791, 236849806)	(236849791, 236849806)
ACTN3	P1P2	chr11	+	CAGE, matched peaks	(66314367, 66314384)	(66313621, 66313639)
ACTN4	P1P2	chr19	+	CAGE, matched peaks	(39138271, 39138305)	(39138320, 39138334)
ACTR10	P1P2	chr14	+	CAGE, matched peaks	(58666824, 58666902)	(58666903, 58666926)
ACTR1A	P1P2	chr10	-	CAGE, matched peaks	(104262460, 104262489)	(104262426, 104262437)
ACTR1B	P1P2	chr2	-	CAGE, matched peaks	(98280383, 98280514)	(98280361, 98280372)
ACTR2	P1P2	chr2	+	CAGE, matched peaks	(65454926, 65454991)	(65454896, 65454917)
ACTR3	P1P2	chr2	+	CAGE, matched peaks	(114647617, 114647739)	(114647504, 114647557)
ACTR3B	P1P2	chr7	+	CAGE, matched peaks	(152456829, 152456900)	(152456815, 152456828)
ACTR3C	P1P2	chr7	-	CAGE, matched peaks	(150020578, 150020682)	(150020750, 150020791)
ACTR5	P1P2	chr20	+	CAGE, matched peaks	(37377090, 37377126)	(37377090, 37377126)
ACTR6	P1P2	chr12	+	CAGE, matched peaks	(100594557, 100594634)	(100594754, 100594758)
ACTR8	P1P2	chr3	-	CAGE, matched peaks	(53916169, 53916187)	(53916202, 53916211)
ACTRT1	P1P2	chrX	-	CAGE, matched peaks	(127186380, 127186382)	(127186380, 127186382)
ACTRT2	P1P2	chr1	+	CAGE, matched peaks	(2938044, 2938088)	(2938028, 2938033)
ACTRT3	P1P2	chr3	-	CAGE, matched peaks	(169487332, 169487360)	(169487332, 169487360)
ACVR1	P1P2	chr2	-	CAGE, matched peaks	(158732561, 158732631)	(158732561, 158732631)
ACVR1B	P1P2	chr12	+	CAGE, matched peaks	(52345448, 52345532)	(52345363, 52345383)
ACVR1C	P1P2	chr2	-	CAGE, matched peaks	(158485364, 158485385)	(158485387, 158485408)
ACVR2A	P1P2	chr2	+	CAGE, matched peaks	(148602058, 148602150)	(148602590, 148602604)
ACVR2B	P1P2	chr3	+	CAGE, matched peaks	(38495333, 38495422)	(38495435, 38495478)
ACVRL1	P1P2	chr12	+	CAGE, matched peaks	(52300721, 52300741)	(52301280, 52301299)
ACY1	P1P2	chr3	+	CAGE, matched peaks	(52017454, 52017572)	(52017283, 52017310)
ACY3	P1	chr11	-	CAGE, matched peaks	(67418152, 67418213)	(67418152, 67418213)
ACY3	P2	chr11	-	CAGE, matched peaks	(67415020, 67415032)	(67415020, 67415032)
ACYP1	P1	chr14	-	CAGE, matched peaks	(75530693, 75530761)	(75530693, 75530761)
ACYP1	P2	chr14	-	CAGE, matched peaks	(75536182, 75536224)	(75536182, 75536224)
ACYP2	P1P2	chr2	+	CAGE, matched peaks	(54342736, 54342786)	(54342574, 54342631)
ADA	P1P2	chr20	-	CAGE, matched peaks	(43280325, 43280348)	(43280361, 43280392)
ADAD1	P1P2	chr4	+	CAGE, matched peaks	(123300664, 123300723)	(123300540, 123300559)
ADAD2	P1P2	chr16	+	CAGE, matched peaks	(84224794, 84224831)	(84224757, 84224776)
ADAL	P1P2	chr15	+	CAGE, matched peaks	(43622843, 43622922)	(43622542, 43622581)
ADAM10	P1P2	chr15	-	CAGE, matched peaks	(59041768, 59041950)	(59041954, 59042006)
ADAM11	P1P2	chr17	+	CAGE, matched peaks	(42836329, 42836389)	(42836521, 42836578)
ADAM12	P1P2	chr10	-	CAGE, matched peaks	(128077034, 128077055)	(128077058, 128077071)
ADAM15	P1P2	chr1	+	CAGE, matched peaks	(155023757, 155023833)	(155023112, 155023150)
ADAM17	P1P2	chr2	-	CAGE, matched peaks	(9695847, 9695966)	(9695971, 9695995)
ADAM18	P1P2	chr8	+	CAGE, matched peaks	(39442097, 39442117)	(39442081, 39442092)
ADAM19	P1P2	chr5	-	CAGE, matched peaks	(157002775, 157002790)	(157002755, 157002766)
ADAM2	P1P2	chr8	-	CAGE, matched peaks	(39695719, 39695751)	(39695764, 39695778)
ADAM20	P1P2	chr14	-	CAGE, matched peaks	(71001708, 71001746)	(71001708, 71001746)
ADAM21	P1P2	chr14	+	CAGE, matched peaks	(70918887, 70918913)	(70918887, 70918913)
ADAM22	P1P2	chr7	+	CAGE, matched peaks	(87563557, 87563641)	(87563531, 87563544)
ADAM23	P1P2	chr2	+	CAGE, matched peaks	(207308220, 207308267)	(207308275, 207308295)
ADAM28	P1P2	chr8	+	CAGE, matched peaks	(24151557, 24151590)	(24151592, 24151611)
ADAM29	P1P2	chr4	+	CAGE, matched peaks	(175839551, 175839567)	(175839518, 175839528)
ADAM30	P1P2	chr1	-	CAGE, matched peaks	(120439126, 120439143)	(120439112, 120439125)
ADAM32	P1P2	chr8	+	CAGE, matched peaks	(38965075, 38965107)	(38965241, 38965290)
ADAM33	P1P2	chr20	-	CAGE, matched peaks	(3662666, 3662699)	(3662645, 3662664)
ADAM7	P1P2	chr8	+	CAGE, matched peaks	(24298531, 24298551)	(24298494, 24298504)
ADAM8	P1P2	chr10	-	CAGE, matched peaks	(135090360, 135090384)	(135090338, 135090354)
ADAM9	P1P2	chr8	+	CAGE, matched peaks	(38854418, 38854514)	(38854330, 38854342)
ADAMDEC1	P1P2	chr8	+	CAGE, matched peaks	(24242010, 24242026)	(24241969, 24241999)
ADAMTS1	P1	chr21	-	CAGE, matched peaks	(28217721, 28217735)	(28217721, 28217735)
ADAMTS1	P2	chr21	-	CAGE, matched peaks	(28216589, 28216607)	(28216589, 28216607)
ADAMTS10	P1P2	chr19	-	CAGE, matched peaks	(8675559, 8675612)	(8675642, 8675653)
ADAMTS12	P1P2	chr5	-	CAGE, matched peaks	(33892081, 33892101)	(33892118, 33892144)
ADAMTS13	P1P2	chr9	+	CAGE, matched peaks	(136287478, 136287514)	(136287478, 136287514)
ADAMTS14	P1P2	chr10	+	CAGE, matched peaks	(72432217, 72432299)	(72432217, 72432299)
ADAMTS15	P1P2	chr11	+	CAGE, matched peaks	(130318529, 130318547)	(130318402, 130318426)
ADAMTS16	P1	chr5	+	CAGE, matched peaks	(5146295, 5146366)	(5146295, 5146366)
ADAMTS16	P2	chr5	+	CAGE, matched peaks	(5140436, 5140450)	(5140436, 5140450)
ADAMTS17	P1P2	chr15	-	CAGE, matched peaks	(100882172, 100882186)	(100882191, 100882213)
ADAMTS18	P1P2	chr16	-	CAGE, matched peaks	(77468905, 77468944)	(77468945, 77468961)
ADAMTS19	P1P2	chr5	+	CAGE, matched peaks	(128795972, 128796012)	(128795972, 128796012)
ADAMTS2	P1P2	chr5	-	CAGE, matched peaks	(178772424, 178772486)	(178772398, 178772420)
ADAMTS20	P1P2	chr12	-	CAGE, matched peaks	(43946001, 43946016)	(43946001, 43946016)
ADAMTS3	P1P2	chr4	-	CAGE, matched peaks	(73434921, 73434961)	(73434921, 73434961)
