sgId	Sublibrary	gene_name	length	pam coordinate	pass_score	position	strand	transcript_list
Drug_Targets+Kinase_Phosphatase=AARS2_-_44280878.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS2	23	44280878	e39m1	44280878	-	['all']
Drug_Targets+Kinase_Phosphatase=AARS2_-_44280944.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS2	24	44280944	e39m1	44280944	-	['all']
Drug_Targets+Kinase_Phosphatase=AARS2_-_44280950.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS2	23	44280950	e39m1	44280950	-	['all']
Drug_Targets+Kinase_Phosphatase=AARS2_-_44281016.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS2	24	44281016	e39m1	44281016	-	['all']
Drug_Targets+Kinase_Phosphatase=AARS2_-_44281087.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	AARS2	24	44281087	e39m1	44281087	-	['all']
Apoptosis+Cancer+Other_Cancer=AATF_+_35306124.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	AATF	24	35306124	e39m1	35306124	+	['all']
Apoptosis+Cancer+Other_Cancer=AATF_+_35306178.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	AATF	23	35306178	e39m1	35306178	+	['all']
Apoptosis+Cancer+Other_Cancer=AATF_+_35306366.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	AATF	24	35306366	e39m1	35306366	+	['all']
Apoptosis+Cancer+Other_Cancer=AATF_-_35306169.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	AATF	24	35306169	e39m1	35306169	-	['all']
Apoptosis+Cancer+Other_Cancer=AATF_-_35306286.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	AATF	24	35306286	e39m1	35306286	-	['all']
Apoptosis+Cancer+Other_Cancer=AATF_-_35306309.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	AATF	23	35306309	e39m1	35306309	-	['all']
Apoptosis+Cancer+Other_Cancer=AATF_-_35306319.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	AATF	23	35306319	e39m1	35306319	-	['all']
Apoptosis+Cancer+Other_Cancer=AATF_-_35306340.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	AATF	23	35306340	e39m1	35306340	-	['all']
Apoptosis+Cancer+Other_Cancer=AATF_-_35306413.22-all~e39m1	Apoptosis+Cancer+Other_Cancer	AATF	22	35306413	e39m1	35306413	-	['all']
Apoptosis+Cancer+Other_Cancer=AATF_-_35306428.22-all~e39m1	Apoptosis+Cancer+Other_Cancer	AATF	22	35306428	e39m1	35306428	-	['all']
Stress_Proteostasis=ABCB7_+_74375886.24-all~e39m1	Stress_Proteostasis	ABCB7	24	74375886	e39m1	74375886	+	['all']
Stress_Proteostasis=ABCB7_+_74375984.24-all~e39m1	Stress_Proteostasis	ABCB7	24	74375984	e39m1	74375984	+	['all']
Stress_Proteostasis=ABCB7_+_74376020.23-all~e39m1	Stress_Proteostasis	ABCB7	23	74376020	e39m1	74376020	+	['all']
Stress_Proteostasis=ABCB7_+_74376070.23-all~e39m1	Stress_Proteostasis	ABCB7	23	74376070	e39m1	74376070	+	['all']
Stress_Proteostasis=ABCB7_+_74376080.24-all~e39m1	Stress_Proteostasis	ABCB7	24	74376080	e39m1	74376080	+	['all']
Stress_Proteostasis=ABCB7_-_74375871.23-all~e39m1	Stress_Proteostasis	ABCB7	23	74375871	e39m1	74375871	-	['all']
Stress_Proteostasis=ABCB7_-_74375893.24-all~e39m1	Stress_Proteostasis	ABCB7	24	74375893	e39m1	74375893	-	['all']
Stress_Proteostasis=ABCB7_-_74375964.23-all~e39m1	Stress_Proteostasis	ABCB7	23	74375964	e39m1	74375964	-	['all']
Stress_Proteostasis=ABCB7_-_74375992.24-all~e39m1	Stress_Proteostasis	ABCB7	24	74375992	e39m1	74375992	-	['all']
Stress_Proteostasis=ABCB7_-_74376146.24-all~e39m1	Stress_Proteostasis	ABCB7	24	74376146	e39m1	74376146	-	['all']
essential_crispri=ABCB7_+_74375959.24-all~e39m1	essential_crispri	ABCB7	24	74375959	e39m1	74375959	+	['all']
essential_crispri=ABCB7_-_74375946.24-all~e39m1	essential_crispri	ABCB7	24	74375946	e39m1	74375946	-	['all']
essential_crispri=ABCB7_-_74375964.24-all~e39m1	essential_crispri	ABCB7	24	74375964	e39m1	74375964	-	['all']
essential_crispri=ABCB7_-_74376019.23-all~e39m1	essential_crispri	ABCB7	23	74376019	e39m1	74376019	-	['all']
essential_crispri=ABCB7_-_74376044.23-all~e39m1	essential_crispri	ABCB7	23	74376044	e39m1	74376044	-	['all']
Apoptosis+Cancer+Other_Cancer=ABCC1_+_16043415.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC1	24	16043415	e39m1	16043415	+	['all']
Apoptosis+Cancer+Other_Cancer=ABCC1_+_16043482.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC1	23	16043482	e39m1	16043482	+	['all']
Apoptosis+Cancer+Other_Cancer=ABCC1_+_16043488.25-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC1	25	16043488	e39m1	16043488	+	['all']
Apoptosis+Cancer+Other_Cancer=ABCC1_+_16043545.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC1	24	16043545	e39m1	16043545	+	['all']
Apoptosis+Cancer+Other_Cancer=ABCC1_-_16043560.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC1	24	16043560	e39m1	16043560	-	['all']
Apoptosis+Cancer+Other_Cancer=ABCC1_-_16043655.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC1	24	16043655	e39m1	16043655	-	['all']
Apoptosis+Cancer+Other_Cancer=ABCC1_-_16043667.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC1	24	16043667	e39m1	16043667	-	['all']
Apoptosis+Cancer+Other_Cancer=ABCC1_-_16043679.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC1	24	16043679	e39m1	16043679	-	['all']
Apoptosis+Cancer+Other_Cancer=ABCC1_-_16043687.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC1	23	16043687	e39m1	16043687	-	['all']
Apoptosis+Cancer+Other_Cancer=ABCC1_-_16043722.25-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC1	25	16043722	e39m1	16043722	-	['all']
Apoptosis+Cancer+Other_Cancer=ABCC4_+_95953393.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC4	24	95953393	e39m1	95953393	+	['all']
Apoptosis+Cancer+Other_Cancer=ABCC4_+_95953430.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC4	24	95953430	e39m1	95953430	+	['all']
Apoptosis+Cancer+Other_Cancer=ABCC4_+_95953470.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC4	24	95953470	e39m1	95953470	+	['all']
Apoptosis+Cancer+Other_Cancer=ABCC4_+_95953641.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC4	24	95953641	e39m1	95953641	+	['all']
Apoptosis+Cancer+Other_Cancer=ABCC4_-_95953458.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC4	23	95953458	e39m1	95953458	-	['all']
Apoptosis+Cancer+Other_Cancer=ABCC4_-_95953484.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC4	24	95953484	e39m1	95953484	-	['all']
Apoptosis+Cancer+Other_Cancer=ABCC4_-_95953540.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC4	24	95953540	e39m1	95953540	-	['all']
Apoptosis+Cancer+Other_Cancer=ABCC4_-_95953561.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC4	24	95953561	e39m1	95953561	-	['all']
Apoptosis+Cancer+Other_Cancer=ABCC4_-_95953614.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC4	24	95953614	e39m1	95953614	-	['all']
Apoptosis+Cancer+Other_Cancer=ABCC4_-_95953716.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	ABCC4	23	95953716	e39m1	95953716	-	['all']
Drug_Targets+Kinase_Phosphatase=ABCE1_+_146019125.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	ABCE1	24	146019125	e39m1	146019125	+	['all']
Drug_Targets+Kinase_Phosphatase=ABCE1_+_146019158.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	ABCE1	23	146019158	e39m1	146019158	+	['all']
Drug_Targets+Kinase_Phosphatase=ABCE1_+_146019235.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	ABCE1	24	146019235	e39m1	146019235	+	['all']
Drug_Targets+Kinase_Phosphatase=ABCE1_+_146019276.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	ABCE1	24	146019276	e39m1	146019276	+	['all']
Drug_Targets+Kinase_Phosphatase=ABCE1_+_146019317.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	ABCE1	24	146019317	e39m1	146019317	+	['all']
Drug_Targets+Kinase_Phosphatase=ABCE1_+_146019333.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	ABCE1	24	146019333	e39m1	146019333	+	['all']
Drug_Targets+Kinase_Phosphatase=ABCE1_-_146019061.27-all~e39m1	Drug_Targets+Kinase_Phosphatase	ABCE1	27	146019061	e39m1	146019061	-	['all']
Drug_Targets+Kinase_Phosphatase=ABCE1_-_146019094.22-all~e39m1	Drug_Targets+Kinase_Phosphatase	ABCE1	22	146019094	e39m1	146019094	-	['all']
Drug_Targets+Kinase_Phosphatase=ABCE1_-_146019110.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	ABCE1	23	146019110	e39m1	146019110	-	['all']
Drug_Targets+Kinase_Phosphatase=ABCE1_-_146019250.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	ABCE1	23	146019250	e39m1	146019250	-	['all']
Drug_Targets+Kinase_Phosphatase=ACACA_+_35715882.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	ACACA	24	35715882	e39m1	35715882	+	['all']
Drug_Targets+Kinase_Phosphatase=ACACA_+_35715907.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	ACACA	24	35715907	e39m1	35715907	+	['all']
Drug_Targets+Kinase_Phosphatase=ACACA_+_35715980.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	ACACA	24	35715980	e39m1	35715980	+	['all']
Drug_Targets+Kinase_Phosphatase=ACACA_+_35716015.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	ACACA	24	35716015	e39m1	35716015	+	['all']
Drug_Targets+Kinase_Phosphatase=ACACA_-_35715826.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	ACACA	24	35715826	e39m1	35715826	-	['all']
Drug_Targets+Kinase_Phosphatase=ACACA_-_35715847.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	ACACA	23	35715847	e39m1	35715847	-	['all']
Drug_Targets+Kinase_Phosphatase=ACACA_-_35715924.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	ACACA	23	35715924	e39m1	35715924	-	['all']
Drug_Targets+Kinase_Phosphatase=ACACA_-_35715967.23-all~e39m1	Drug_Targets+Kinase_Phosphatase	ACACA	23	35715967	e39m1	35715967	-	['all']
Drug_Targets+Kinase_Phosphatase=ACACA_-_35716009.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	ACACA	24	35716009	e39m1	35716009	-	['all']
Drug_Targets+Kinase_Phosphatase=ACACA_-_35716077.24-all~e39m1	Drug_Targets+Kinase_Phosphatase	ACACA	24	35716077	e39m1	35716077	-	['all']
Trafficking+Mitochondria+Motility=ACBD3_+_226374131.24-all~e39m1	Trafficking+Mitochondria+Motility	ACBD3	24	226374131	e39m1	226374131	+	['all']
Trafficking+Mitochondria+Motility=ACBD3_+_226374211.23-all~e39m1	Trafficking+Mitochondria+Motility	ACBD3	23	226374211	e39m1	226374211	+	['all']
Trafficking+Mitochondria+Motility=ACBD3_+_226374329.22-all~e39m1	Trafficking+Mitochondria+Motility	ACBD3	22	226374329	e39m1	226374329	+	['all']
Trafficking+Mitochondria+Motility=ACBD3_+_226374415.23-all~e39m1	Trafficking+Mitochondria+Motility	ACBD3	23	226374415	e39m1	226374415	+	['all']
Trafficking+Mitochondria+Motility=ACBD3_+_226374447.23-all~e39m1	Trafficking+Mitochondria+Motility	ACBD3	23	226374447	e39m1	226374447	+	['all']
Trafficking+Mitochondria+Motility=ACBD3_-_226374225.24-all~e39m1	Trafficking+Mitochondria+Motility	ACBD3	24	226374225	e39m1	226374225	-	['all']
Trafficking+Mitochondria+Motility=ACBD3_-_226374251.23-all~e39m1	Trafficking+Mitochondria+Motility	ACBD3	23	226374251	e39m1	226374251	-	['all']
Trafficking+Mitochondria+Motility=ACBD3_-_226374381.24-all~e39m1	Trafficking+Mitochondria+Motility	ACBD3	24	226374381	e39m1	226374381	-	['all']
Trafficking+Mitochondria+Motility=ACBD3_-_226374403.24-all~e39m1	Trafficking+Mitochondria+Motility	ACBD3	24	226374403	e39m1	226374403	-	['all']
Trafficking+Mitochondria+Motility=ACBD3_-_226374463.22-all~e39m1	Trafficking+Mitochondria+Motility	ACBD3	22	226374463	e39m1	226374463	-	['all']
Stress_Proteostasis=ACTL6A_-_179280664.24-all~e39m1	Stress_Proteostasis	ACTL6A	24	179280664	e39m1	179280664	-	['all']
Stress_Proteostasis=ACTL6A_-_179280720.24-all~e39m1	Stress_Proteostasis	ACTL6A	24	179280720	e39m1	179280720	-	['all']
Stress_Proteostasis=ACTL6A_-_179280783.23-all~e39m1	Stress_Proteostasis	ACTL6A	23	179280783	e39m1	179280783	-	['all']
Stress_Proteostasis=ACTL6A_-_179280791.24-all~e39m1	Stress_Proteostasis	ACTL6A	24	179280791	e39m1	179280791	-	['all']
Stress_Proteostasis=ACTL6A_-_179280822.24-all~e39m1	Stress_Proteostasis	ACTL6A	24	179280822	e39m1	179280822	-	['all']
Stress_Proteostasis=ACTL6A_-_179280860.22-all~e39m1	Stress_Proteostasis	ACTL6A	22	179280860	e39m1	179280860	-	['all']
Stress_Proteostasis=ACTL6A_-_179280899.23-all~e39m1	Stress_Proteostasis	ACTL6A	23	179280899	e39m1	179280899	-	['all']
Stress_Proteostasis=ACTL6A_-_179280922.23-all~e39m1	Stress_Proteostasis	ACTL6A	23	179280922	e39m1	179280922	-	['all']
Stress_Proteostasis=ACTL6A_-_179280944.24-all~e39m1	Stress_Proteostasis	ACTL6A	24	179280944	e39m1	179280944	-	['all']
Stress_Proteostasis=ACTL6A_-_179280951.23-all~e39m1	Stress_Proteostasis	ACTL6A	23	179280951	e39m1	179280951	-	['all']
essential_crispri=ACTL6A_+_179280802.23-all~e39m1	essential_crispri	ACTL6A	23	179280802	e39m1	179280802	+	['all']
essential_crispri=ACTL6A_+_179280849.24-all~e39m1	essential_crispri	ACTL6A	24	179280849	e39m1	179280849	+	['all']
essential_crispri=ACTL6A_-_179280783.24-all~e39m1	essential_crispri	ACTL6A	24	179280783	e39m1	179280783	-	['all']
essential_crispri=ACTL6A_-_179280944.23-all~e39m1	essential_crispri	ACTL6A	23	179280944	e39m1	179280944	-	['all']
essential_crispri=ACTL6A_-_179280953.21-all~e39m1	essential_crispri	ACTL6A	21	179280953	e39m1	179280953	-	['all']
Trafficking+Mitochondria+Motility=ACTR10_+_58666892.23-all~e39m1	Trafficking+Mitochondria+Motility	ACTR10	23	58666892	e39m1	58666892	+	['all']
Trafficking+Mitochondria+Motility=ACTR10_+_58666938.24-all~e39m1	Trafficking+Mitochondria+Motility	ACTR10	24	58666938	e39m1	58666938	+	['all']
Trafficking+Mitochondria+Motility=ACTR10_+_58667020.23-all~e39m1	Trafficking+Mitochondria+Motility	ACTR10	23	58667020	e39m1	58667020	+	['all']
Trafficking+Mitochondria+Motility=ACTR10_+_58667079.24-all~e39m1	Trafficking+Mitochondria+Motility	ACTR10	24	58667079	e39m1	58667079	+	['all']
Trafficking+Mitochondria+Motility=ACTR10_+_58667094.24-all~e39m1	Trafficking+Mitochondria+Motility	ACTR10	24	58667094	e39m1	58667094	+	['all']
Trafficking+Mitochondria+Motility=ACTR10_-_58666897.23-all~e39m1	Trafficking+Mitochondria+Motility	ACTR10	23	58666897	e39m1	58666897	-	['all']
Trafficking+Mitochondria+Motility=ACTR10_-_58666996.24-all~e39m1	Trafficking+Mitochondria+Motility	ACTR10	24	58666996	e39m1	58666996	-	['all']
Trafficking+Mitochondria+Motility=ACTR10_-_58667050.24-all~e39m1	Trafficking+Mitochondria+Motility	ACTR10	24	58667050	e39m1	58667050	-	['all']
Trafficking+Mitochondria+Motility=ACTR10_-_58667057.24-all~e39m1	Trafficking+Mitochondria+Motility	ACTR10	24	58667057	e39m1	58667057	-	['all']
Stress_Proteostasis=ACTR5_+_37377138.24-all~e39m1	Stress_Proteostasis	ACTR5	24	37377138	e39m1	37377138	+	['all']
Stress_Proteostasis=ACTR5_+_37377152.24-all~e39m1	Stress_Proteostasis	ACTR5	24	37377152	e39m1	37377152	+	['all']
Stress_Proteostasis=ACTR5_-_37377078.24-all~e39m1	Stress_Proteostasis	ACTR5	24	37377078	e39m1	37377078	-	['all']
Stress_Proteostasis=ACTR5_-_37377101.24-all~e39m1	Stress_Proteostasis	ACTR5	24	37377101	e39m1	37377101	-	['all']
Stress_Proteostasis=ACTR5_-_37377127.23-all~e39m1	Stress_Proteostasis	ACTR5	23	37377127	e39m1	37377127	-	['all']
Stress_Proteostasis=ACTR5_-_37377201.24-all~e39m1	Stress_Proteostasis	ACTR5	24	37377201	e39m1	37377201	-	['all']
Stress_Proteostasis=ACTR5_-_37377234.24-all~e39m1	Stress_Proteostasis	ACTR5	24	37377234	e39m1	37377234	-	['all']
Stress_Proteostasis=ACTR5_-_37377310.23-all~e39m1	Stress_Proteostasis	ACTR5	23	37377310	e39m1	37377310	-	['all']
Stress_Proteostasis=ACTR5_-_37377323.24-all~e39m1	Stress_Proteostasis	ACTR5	24	37377323	e39m1	37377323	-	['all']
Stress_Proteostasis=ACTR5_-_37377329.23-all~e39m1	Stress_Proteostasis	ACTR5	23	37377329	e39m1	37377329	-	['all']
Apoptosis+Cancer+Other_Cancer=ACTR8_+_53916004.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	ACTR8	23	53916004	e39m1	53916004	+	['all']
Apoptosis+Cancer+Other_Cancer=ACTR8_+_53916025.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	ACTR8	23	53916025	e39m1	53916025	+	['all']
Apoptosis+Cancer+Other_Cancer=ACTR8_+_53916070.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ACTR8	24	53916070	e39m1	53916070	+	['all']
Apoptosis+Cancer+Other_Cancer=ACTR8_+_53916088.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	ACTR8	23	53916088	e39m1	53916088	+	['all']
Apoptosis+Cancer+Other_Cancer=ACTR8_+_53916118.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	ACTR8	23	53916118	e39m1	53916118	+	['all']
Apoptosis+Cancer+Other_Cancer=ACTR8_+_53916157.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ACTR8	24	53916157	e39m1	53916157	+	['all']
Apoptosis+Cancer+Other_Cancer=ACTR8_+_53916171.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ACTR8	24	53916171	e39m1	53916171	+	['all']
Apoptosis+Cancer+Other_Cancer=ACTR8_+_53916239.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ACTR8	24	53916239	e39m1	53916239	+	['all']
Apoptosis+Cancer+Other_Cancer=ACTR8_-_53916043.23-all~e39m1	Apoptosis+Cancer+Other_Cancer	ACTR8	23	53916043	e39m1	53916043	-	['all']
Apoptosis+Cancer+Other_Cancer=ACTR8_-_53916235.24-all~e39m1	Apoptosis+Cancer+Other_Cancer	ACTR8	24	53916235	e39m1	53916235	-	['all']
Unassigned=ADAT2_+_143771665.23-all~e39m1	Unassigned	ADAT2	23	143771665	e39m1	143771665	+	['all']
Unassigned=ADAT2_+_143771685.24-all~e39m1	Unassigned	ADAT2	24	143771685	e39m1	143771685	+	['all']
Unassigned=ADAT2_+_143771734.24-all~e39m1	Unassigned	ADAT2	24	143771734	e39m1	143771734	+	['all']
Unassigned=ADAT2_+_143771746.22-all~e39m1	Unassigned	ADAT2	22	143771746	e39m1	143771746	+	['all']
Unassigned=ADAT2_+_143771757.24-all~e39m1	Unassigned	ADAT2	24	143771757	e39m1	143771757	+	['all']
Unassigned=ADAT2_+_143771782.24-all~e39m1	Unassigned	ADAT2	24	143771782	e39m1	143771782	+	['all']
Unassigned=ADAT2_+_143771797.24-all~e39m1	Unassigned	ADAT2	24	143771797	e39m1	143771797	+	['all']
Unassigned=ADAT2_-_143771639.23-all~e39m1	Unassigned	ADAT2	23	143771639	e39m1	143771639	-	['all']
Unassigned=ADAT2_-_143771849.24-all~e39m1	Unassigned	ADAT2	24	143771849	e39m1	143771849	-	['all']
Unassigned=ADAT2_-_143771859.23-all~e39m1	Unassigned	ADAT2	23	143771859	e39m1	143771859	-	['all']
Trafficking+Mitochondria+Motility=ADO_+_64564485.24-all~e39m1	Trafficking+Mitochondria+Motility	ADO	24	64564485	e39m1	64564485	+	['all']
Trafficking+Mitochondria+Motility=ADO_+_64564720.23-all~e39m1	Trafficking+Mitochondria+Motility	ADO	23	64564720	e39m1	64564720	+	['all']
Trafficking+Mitochondria+Motility=ADO_-_64564527.22-all~e39m1	Trafficking+Mitochondria+Motility	ADO	22	64564527	e39m1	64564527	-	['all']
Trafficking+Mitochondria+Motility=ADO_-_64564623.24-all~e39m1	Trafficking+Mitochondria+Motility	ADO	24	64564623	e39m1	64564623	-	['all']
Trafficking+Mitochondria+Motility=ADO_-_64564643.24-all~e39m1	Trafficking+Mitochondria+Motility	ADO	24	64564643	e39m1	64564643	-	['all']
Trafficking+Mitochondria+Motility=ADO_-_64564669.24-all~e39m1	Trafficking+Mitochondria+Motility	ADO	24	64564669	e39m1	64564669	-	['all']
Trafficking+Mitochondria+Motility=ADO_-_64564696.24-all~e39m1	Trafficking+Mitochondria+Motility	ADO	24	64564696	e39m1	64564696	-	['all']
Trafficking+Mitochondria+Motility=ADO_-_64564701.24-all~e39m1	Trafficking+Mitochondria+Motility	ADO	24	64564701	e39m1	64564701	-	['all']
Trafficking+Mitochondria+Motility=ADO_-_64564711.24-all~e39m1	Trafficking+Mitochondria+Motility	ADO	24	64564711	e39m1	64564711	-	['all']
Trafficking+Mitochondria+Motility=ADO_-_64564781.24-all~e39m1	Trafficking+Mitochondria+Motility	ADO	24	64564781	e39m1	64564781	-	['all']
Unassigned=ADPRH_+_119298148.23-ENST00000478399.1~e39m1	Unassigned	ADPRH	23	119298148	e39m1	119298148	+	['ENST00000478399.1']
Unassigned=ADPRH_+_119298264.25-ENST00000478399.1~e39m1	Unassigned	ADPRH	25	119298264	e39m1	119298264	+	['ENST00000478399.1']
Unassigned=ADPRH_+_119298312.25-ENST00000478399.1~e39m1	Unassigned	ADPRH	25	119298312	e39m1	119298312	+	['ENST00000478399.1']
Unassigned=ADPRH_+_119298353.25-ENST00000478399.1~e39m1	Unassigned	ADPRH	25	119298353	e39m1	119298353	+	['ENST00000478399.1']
Unassigned=ADPRH_+_119298491.22-ENST00000478927.1,ENST00000357003.3~e39m1	Unassigned	ADPRH	22	119298491	e39m1	119298491	+	['ENST00000478927.1', 'ENST00000357003.3']
Unassigned=ADPRH_+_119298534.23-ENST00000478927.1,ENST00000357003.3~e39m1	Unassigned	ADPRH	23	119298534	e39m1	119298534	+	['ENST00000478927.1', 'ENST00000357003.3']
Unassigned=ADPRH_+_119298540.24-ENST00000478927.1,ENST00000357003.3~e39m1	Unassigned	ADPRH	24	119298540	e39m1	119298540	+	['ENST00000478927.1', 'ENST00000357003.3']
Unassigned=ADPRH_+_119298546.24-ENST00000478927.1,ENST00000357003.3~e39m1	Unassigned	ADPRH	24	119298546	e39m1	119298546	+	['ENST00000478927.1', 'ENST00000357003.3']
Unassigned=ADPRH_+_119298567.24-ENST00000478927.1,ENST00000357003.3~e39m1	Unassigned	ADPRH	24	119298567	e39m1	119298567	+	['ENST00000478927.1', 'ENST00000357003.3']
